miRNA;Target
hsa-miR-30e-5p;MYBL2
hsa-miR-30e-5p;UBE2I
hsa-miR-30e-5p;MUC17
hsa-miR-30e-5p;Snai1
hsa-miR-30e-5p;SNAI1
hsa-miR-30e-5p;ZNF207
hsa-miR-30e-5p;MIER1
hsa-miR-30e-5p;GPBP1L1
hsa-miR-30e-5p;PSMA6
hsa-miR-30e-5p;TRAPPC9
hsa-miR-30e-5p;LYRM7
hsa-miR-30e-5p;BTBD9
hsa-miR-30e-5p;RPIA
hsa-miR-30e-5p;PRKAA1
hsa-miR-30e-5p;EHMT1
hsa-miR-30e-5p;ZBTB21
hsa-miR-30e-5p;MSANTD2
hsa-miR-30e-5p;TNKS2
hsa-miR-30e-5p;LIMCH1
hsa-miR-30e-5p;RPS8
hsa-miR-30e-5p;NOL12
hsa-miR-30e-5p;CANX
hsa-miR-30e-5p;GNAI2
hsa-miR-30e-5p;WDR26
hsa-miR-30e-5p;POLRMT
hsa-miR-30e-5p;TBC1D8B
hsa-miR-30e-5p;PCNT
hsa-miR-30e-5p;PSMB5
hsa-miR-30e-5p;POLDIP3
hsa-miR-30e-5p;ATP5O
hsa-miR-30e-5p;RPLP0
hsa-miR-30e-5p;ZYG11A
hsa-miR-30e-5p;RPS7
hsa-miR-30e-5p;HSP90AA1
hsa-miR-30e-5p;RELA
hsa-miR-30e-5p;STAU1
hsa-miR-30e-5p;CCT6A
hsa-miR-30e-5p;EEF1A1
hsa-miR-30e-5p;VPS13B
hsa-miR-30e-5p;EXO1
hsa-miR-30e-5p;MTHFD2
hsa-miR-30e-5p;C1orf123
hsa-miR-30e-5p;BMI1
hsa-miR-30e-5p;MTTP
hsa-miR-30e-5p;PCGF5
hsa-miR-30e-5p;KIF11
hsa-miR-30e-5p;LCOR
hsa-miR-30e-5p;SLC35C1
hsa-miR-30e-5p;TFDP1
hsa-miR-30e-5p;KPNA6
hsa-miR-30e-5p;S100PBP
hsa-miR-30e-5p;FOXG1
hsa-miR-30e-5p;TNRC6A
hsa-miR-30e-5p;PSMD7
hsa-miR-30e-5p;RNF138
hsa-miR-30e-5p;LRRC8B
hsa-miR-30e-5p;LDLR
hsa-miR-30e-5p;ZNF507
hsa-miR-30e-5p;ZNF543
hsa-miR-30e-5p;PCMTD2
hsa-miR-30e-5p;HIC2
hsa-miR-30e-5p;LCLAT1
hsa-miR-30e-5p;EML4
hsa-miR-30e-5p;ASB3
hsa-miR-30e-5p;SLC35G2
hsa-miR-30e-5p;MBNL1
hsa-miR-30e-5p;FBXO45
hsa-miR-30e-5p;SEC24A
hsa-miR-30e-5p;SFXN1
hsa-miR-30e-5p;SOBP
hsa-miR-30e-5p;SOX4
hsa-miR-30e-5p;ENPP4
hsa-miR-30e-5p;CD2AP
hsa-miR-30e-5p;SP4
hsa-miR-30e-5p;PEG10
hsa-miR-30e-5p;FAM91A1
hsa-miR-30e-5p;RAD23B
hsa-miR-30e-5p;KIF5B
hsa-miR-30e-5p;NFAT5
hsa-miR-30e-5p;ZNF264
hsa-miR-30e-5p;STRIP1
hsa-miR-30e-5p;CEP350
hsa-miR-30e-5p;IER5
hsa-miR-30e-5p;MTR
hsa-miR-30e-5p;ZBTB39
hsa-miR-30e-5p;STX12
hsa-miR-30e-5p;WDFY2
hsa-miR-30e-5p;TPRG1L
hsa-miR-30e-5p;RNF220
hsa-miR-30e-5p;JDP2
hsa-miR-30e-5p;PLEKHO2
hsa-miR-30e-5p;GLCE
hsa-miR-30e-5p;IL21R
hsa-miR-30e-5p;PAPD5
hsa-miR-30e-5p;ZNRF1
hsa-miR-30e-5p;RNF135
hsa-miR-30e-5p;GALNT1
hsa-miR-30e-5p;LRRC8D
hsa-miR-30e-5p;MAST3
hsa-miR-30e-5p;ARID3A
hsa-miR-30e-5p;RRM2
hsa-miR-30e-5p;IFNAR2
hsa-miR-30e-5p;NRBP1
hsa-miR-30e-5p;RASGRP3
hsa-miR-30e-5p;PLXNA1
hsa-miR-30e-5p;GAB1
hsa-miR-30e-5p;PPARGC1B
hsa-miR-30e-5p;PRDM1
hsa-miR-30e-5p;KLHDC10
hsa-miR-30e-5p;PHTF2
hsa-miR-30e-5p;DBF4
hsa-miR-30e-5p;MTDH
hsa-miR-30e-5p;JADE3
hsa-miR-30e-5p;ADO
hsa-miR-30e-5p;LYPLAL1
hsa-miR-30e-5p;RAP1B
hsa-miR-30e-5p;MKRN3
hsa-miR-30e-5p;IREB2
hsa-miR-30e-5p;DHX40
hsa-miR-30e-5p;RAB10
hsa-miR-30e-5p;XPO1
hsa-miR-30e-5p;SETD5
hsa-miR-30e-5p;N4BP2
hsa-miR-30e-5p;MFAP3
hsa-miR-30e-5p;FAM8A1
hsa-miR-30e-5p;SERPINE1
hsa-miR-30e-5p;NAPG
hsa-miR-30e-5p;TBPL1
hsa-miR-30e-5p;UBE3C
hsa-miR-30e-5p;CBX3
hsa-miR-30e-5p;TMED2
hsa-miR-30e-5p;MBNL2
hsa-miR-30e-5p;CCNF
hsa-miR-30e-5p;CBX2
hsa-miR-30e-5p;CDC7
hsa-miR-30e-5p;MTF2
hsa-miR-30e-5p;SAE1
hsa-miR-30e-5p;ZNF460
hsa-miR-30e-5p;FOXN2
hsa-miR-30e-5p;FYTTD1
hsa-miR-30e-5p;MIER3
hsa-miR-30e-5p;BAG4
hsa-miR-30e-5p;MZT1
hsa-miR-30e-5p;ZXDB
hsa-miR-30e-5p;H6PD
hsa-miR-30e-5p;NOTCH1
hsa-miR-30e-5p;TP53
hsa-miR-30e-5p;ZEB2
hsa-miR-30e-5p;TGFA
hsa-miR-30e-5p;CHST15
hsa-miR-30e-5p;SEC61A2
hsa-miR-30e-5p;ROCK2
hsa-miR-30e-5p;NCOA3
hsa-miR-30e-5p;GNA13
hsa-miR-30e-5p;TSPYL1
hsa-miR-30e-5p;PGGT1B
hsa-miR-30e-5p;PPP2R1B
hsa-miR-30e-5p;ZDHHC20
hsa-miR-30e-5p;VASH1
hsa-miR-30e-5p;SOCS3
hsa-miR-30e-5p;SLC7A5
hsa-miR-30e-5p;PPP1R15B
hsa-miR-30e-5p;PIK3C2B
hsa-miR-30e-5p;PHF13
hsa-miR-30e-5p;NAP1L1
hsa-miR-30e-5p;NACC2
hsa-miR-30e-5p;MARCKSL1
hsa-miR-30e-5p;MAPK8
hsa-miR-30e-5p;LMBR1L
hsa-miR-30e-5p;LARP1
hsa-miR-30e-5p;KREMEN1
hsa-miR-30e-5p;HHIPL1
hsa-miR-30e-5p;GOLGA8B
hsa-miR-30e-5p;AZIN1
hsa-miR-30e-5p;ARPP19
hsa-miR-30e-5p;ALG9
hsa-miR-30e-5p;AKIRIN1
hsa-miR-30e-5p;PTP4A1
hsa-miR-30e-5p;ADPRHL1
hsa-miR-30e-5p;SOCS1
hsa-miR-30e-5p;POLR3E
hsa-miR-30e-5p;IFNE
hsa-miR-30e-5p;MTRNR2L10
hsa-miR-30e-5p;CSNK1G1
hsa-miR-30e-5p;CAND1
hsa-miR-30e-5p;TOMM5
hsa-miR-30e-5p;GIGYF1
hsa-miR-30e-5p;PGPEP1
hsa-miR-30e-5p;CXCL11
hsa-miR-30e-5p;FAM81B
hsa-miR-30e-5p;SKIDA1
hsa-miR-30e-5p;HABP4
hsa-miR-30e-5p;DDAH1
hsa-miR-30e-5p;SIKE1
hsa-miR-30e-5p;GTF2E2
hsa-miR-30e-5p;PGM3
hsa-miR-30e-5p;PBRM1
hsa-miR-30e-5p;KBTBD6
hsa-miR-30e-5p;FOXA1
hsa-miR-30e-5p;ELOVL5
hsa-miR-30e-5p;VPS33A
hsa-miR-30e-5p;SRPR
hsa-miR-30e-5p;SIX4
hsa-miR-30e-5p;PPP3CB
hsa-miR-30e-5p;PICALM
hsa-miR-30e-5p;PDCD10
hsa-miR-30e-5p;LIFR
hsa-miR-30e-5p;FYCO1
hsa-miR-30e-5p;FRS2
hsa-miR-30e-5p;DCUN1D1
hsa-miR-30e-5p;CELSR3
hsa-miR-30e-5p;NDUFA12
hsa-miR-30e-5p;QRFPR
hsa-miR-30e-5p;ST3GAL5
hsa-miR-30e-5p;UHRF1BP1
hsa-miR-30e-5p;SCML2
hsa-miR-30e-5p;MYLIP
hsa-miR-30e-5p;MSANTD4
hsa-miR-30e-5p;FANCF
hsa-miR-30e-5p;B4GALT5
hsa-miR-30e-5p;OPHN1
hsa-miR-30e-5p;STRN
hsa-miR-30e-5p;MARCH4
hsa-miR-30e-5p;PLSCR1
hsa-miR-30e-5p;SERPINC1
hsa-miR-30e-5p;SEMA6A
hsa-miR-30e-5p;MED29
hsa-miR-30e-5p;BAHD1
