miRNA;Target
hsa-miR-126-3p;PITPNC1
hsa-miR-126-3p;IGFBP2
hsa-miR-126-3p;KRAS
hsa-miR-126-3p;SPRED1
hsa-miR-126-3p;PLK2
hsa-miR-126-3p;EGFL7
hsa-miR-126-3p;SLC45A3
hsa-miR-126-3p;CCNE2
hsa-miR-126-3p;RGS3
hsa-miR-126-3p;TOM1
hsa-miR-126-3p;HOXA9
hsa-miR-126-3p;MERTK
hsa-miR-126-3p;CRK
hsa-miR-126-3p;VEGFA
hsa-miR-126-3p;PIK3R2
hsa-miR-126-3p;VCAM1
hsa-miR-126-3p;IRS1
hsa-miR-126-3p;E2F1
hsa-miR-126-3p;SOX2
hsa-miR-126-3p;TWF1
hsa-miR-126-3p;TWF2
hsa-miR-126-3p;PTPN7
hsa-miR-126-3p;DNMT1
hsa-miR-126-3p;SLC7A5
hsa-miR-126-3p;PIK3CG
hsa-miR-126-3p;TEK
hsa-miR-126-3p;ADAM9
hsa-miR-126-3p;MMP7
hsa-miR-126-3p;CXCL12
hsa-miR-126-3p;CRKL
hsa-miR-126-3p;PGR
hsa-miR-126-3p;RBMX
hsa-miR-126-3p;FOXO3
hsa-miR-126-3p;BCL2
hsa-miR-126-3p;CXCR4
hsa-miR-126-3p;Camsap1
hsa-miR-126-3p;CD97
hsa-miR-126-3p;TCF4
hsa-miR-126-3p;Cdkn1b
hsa-miR-126-3p;RHOU
hsa-miR-126-3p;LRP6
hsa-miR-126-3p;ADM
hsa-miR-126-3p;SIRT1
hsa-miR-126-3p;NFKBIA
hsa-miR-126-3p;KCNJ1
hsa-miR-126-3p;SLC39A6
hsa-miR-126-3p;AKT2
hsa-miR-126-3p;ACVR2B
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;GRIN2B
hsa-miR-126-3p;CADM1
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;GRIN2B
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;GRIN2B
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;ACVR2B
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;GRIN2B
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;GRIN2B
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;ACVR2B
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;ACVR2B
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;ACVR2B
hsa-miR-126-3p;SLC41A2
hsa-miR-126-3p;ACVR2B
hsa-miR-126-3p;SLC7A5
hsa-miR-126-3p;AKT2
hsa-miR-126-3p;VEGFA
hsa-miR-126-3p;SLC39A6
hsa-miR-126-3p;KCNJ1
hsa-miR-15a-5p;BMI1
hsa-miR-15a-5p;WNT3A
hsa-miR-15a-5p;MYB
hsa-miR-15a-5p;CDC25A
hsa-miR-15a-5p;CCND2
hsa-miR-15a-5p;RAB9B
hsa-miR-15a-5p;ACTR1A
hsa-miR-15a-5p;TPI1
hsa-miR-15a-5p;PDCD4
hsa-miR-15a-5p;RAB21
