"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000276","hsa","hsa","hsa-miR-15b-5p","CCNE1","1","1","1","0","1","0","1","0","5","6"
"MIRT000607","hsa","hsa","hsa-miR-15b-5p","RECK","1","1","1","0","1","0","1","0","5","2"
"MIRT000978","hsa","hsa","hsa-miR-15b-5p","BCL2","1","1","1","0","1","0","1","0","5","5"
"MIRT006238","gga","gga","gga-miR-15b-5p","ATF2","1","0","0","0","0","0","0","0","1","1"
"MIRT003376","mmu","mmu","mmu-miR-15b-5p","Arl2","1","1","1","0","0","0","0","0","3","1"
"MIRT003913","hsa","hsa","hsa-miR-15b-5p","CCND1","1","1","1","0","1","0","1","0","5","3"
"MIRT004274","hsa","hsa","hsa-miR-15b-5p","VEGFA","1","0","0","0","1","0","1","0","3","8"
"MIRT004526","hsa","hsa","hsa-miR-15b-5p","EIF4A1","1","0","0","0","0","0","1","0","2","1"
"MIRT005084","rno","rno","rno-miR-15b-5p","Bcl2","1","1","1","0","0","0","1","0","4","1"
"MIRT005431","rno","rno","rno-miR-15b-5p","Cdc25a","1","0","0","0","0","0","1","0","2","1"
"MIRT006750","hsa","hsa","hsa-miR-15b-5p","AXIN2","1","0","0","0","1","0","0","0","2","4"
"MIRT006914","hsa","hsa","hsa-miR-15b-5p","IFNG","1","0","1","0","0","0","0","0","2","1"
"MIRT007001","hsa","hsa","hsa-miR-15b-5p","PURA","1","0","0","0","1","0","0","0","2","2"
"MIRT007462","rno","rno","rno-miR-15b-5p","Arl2","1","1","1","0","0","0","1","0","4","1"
"MIRT023483","hsa","hsa","hsa-miR-15b-5p","MAP2K4","0","0","0","0","1","0","1","0","2","2"
"MIRT046381","hsa","hsa","hsa-miR-15b-5p","C5orf15","0","0","0","0","1","0","0","0","1","1"
"MIRT046382","hsa","hsa","hsa-miR-15b-5p","MTMR6","0","0","0","0","1","0","0","0","1","1"
"MIRT046383","hsa","hsa","hsa-miR-15b-5p","AP5S1","0","0","0","0","1","0","0","0","1","1"
"MIRT046384","hsa","hsa","hsa-miR-15b-5p","MRPS11","0","0","0","0","1","0","0","0","1","1"
"MIRT046385","hsa","hsa","hsa-miR-15b-5p","NPM1","0","0","0","0","1","0","0","0","1","1"
"MIRT046386","hsa","hsa","hsa-miR-15b-5p","EIF2AK2","0","0","0","0","1","0","0","0","1","1"
"MIRT046387","hsa","hsa","hsa-miR-15b-5p","CD44","0","0","0","0","1","0","0","0","1","1"
"MIRT046388","hsa","hsa","hsa-miR-15b-5p","TM9SF3","0","0","0","0","1","0","0","0","1","1"
"MIRT046389","hsa","hsa","hsa-miR-15b-5p","HNRNPK","0","0","0","0","1","0","0","0","1","1"
"MIRT046390","hsa","hsa","hsa-miR-15b-5p","SERBP1","0","0","0","0","1","0","0","0","1","2"
"MIRT046391","hsa","hsa","hsa-miR-15b-5p","AIG1","0","0","0","0","1","0","0","0","1","1"
"MIRT046392","hsa","hsa","hsa-miR-15b-5p","POU2F1","0","0","0","0","1","0","0","0","1","1"
"MIRT046393","hsa","hsa","hsa-miR-15b-5p","RAB1B","0","0","0","0","1","0","0","0","1","1"
"MIRT046394","hsa","hsa","hsa-miR-15b-5p","RPS3A","0","0","0","0","1","0","0","0","1","1"
"MIRT046395","hsa","hsa","hsa-miR-15b-5p","NAA30","0","0","0","0","1","0","0","0","1","1"
"MIRT046396","hsa","hsa","hsa-miR-15b-5p","SYNJ1","0","0","0","0","1","0","0","0","1","1"
"MIRT046397","hsa","hsa","hsa-miR-15b-5p","FAXC","0","0","0","0","1","0","0","0","1","1"
"MIRT046398","hsa","hsa","hsa-miR-15b-5p","PLSCR4","0","0","0","0","1","0","0","0","1","1"
"MIRT046399","hsa","hsa","hsa-miR-15b-5p","NUP210","0","0","0","0","1","0","0","0","1","1"
"MIRT046400","hsa","hsa","hsa-miR-15b-5p","URB2","0","0","0","0","1","0","0","0","1","1"
"MIRT046401","hsa","hsa","hsa-miR-15b-5p","EEF1A1","0","0","0","0","1","0","0","0","1","1"
"MIRT046402","hsa","hsa","hsa-miR-15b-5p","PXMP2","0","0","0","0","1","0","0","0","1","1"
"MIRT046403","hsa","hsa","hsa-miR-15b-5p","RLIM","0","0","0","0","1","0","0","0","1","1"
"MIRT046404","hsa","hsa","hsa-miR-15b-5p","TMC7","0","0","0","0","1","0","0","0","1","1"
"MIRT046405","hsa","hsa","hsa-miR-15b-5p","FAM214A","0","0","0","0","1","0","0","0","1","1"
"MIRT046406","hsa","hsa","hsa-miR-15b-5p","TMEM63B","0","0","0","0","1","0","0","0","1","1"
"MIRT046407","hsa","hsa","hsa-miR-15b-5p","UACA","0","0","0","0","1","0","0","0","1","1"
"MIRT046408","hsa","hsa","hsa-miR-15b-5p","TAB2","0","0","0","0","1","0","0","0","1","1"
"MIRT046409","hsa","hsa","hsa-miR-15b-5p","RPL27A","0","0","0","0","1","0","0","0","1","1"
"MIRT046410","hsa","hsa","hsa-miR-15b-5p","WAC","0","0","0","0","1","0","0","0","1","1"
"MIRT046411","hsa","hsa","hsa-miR-15b-5p","CHMP7","0","0","0","0","1","0","0","0","1","1"
"MIRT046412","hsa","hsa","hsa-miR-15b-5p","CDK4","0","0","0","0","1","0","0","0","1","1"
"MIRT046413","hsa","hsa","hsa-miR-15b-5p","VDAC2","0","0","0","0","1","0","0","0","1","1"
"MIRT046414","hsa","hsa","hsa-miR-15b-5p","PGD","0","0","0","0","1","0","0","0","1","2"
"MIRT046415","hsa","hsa","hsa-miR-15b-5p","PIK3C2B","0","0","0","0","1","0","0","0","1","1"
"MIRT046416","hsa","hsa","hsa-miR-15b-5p","MPHOSPH9","0","0","0","0","1","0","0","0","1","1"
"MIRT046417","hsa","hsa","hsa-miR-15b-5p","MPP1","0","0","0","0","1","0","0","0","1","1"
"MIRT046418","hsa","hsa","hsa-miR-15b-5p","MARCKS","0","0","0","0","1","0","0","0","1","1"
"MIRT046419","hsa","hsa","hsa-miR-15b-5p","NAB1","0","0","0","0","1","0","0","0","1","1"
"MIRT046420","hsa","hsa","hsa-miR-15b-5p","MESDC2","0","0","0","0","1","0","0","0","1","1"
"MIRT046421","hsa","hsa","hsa-miR-15b-5p","ATP6V0E1","0","0","0","0","1","0","0","0","1","1"
"MIRT046422","hsa","hsa","hsa-miR-15b-5p","RPS6","0","0","0","0","1","0","0","0","1","1"
"MIRT046423","hsa","hsa","hsa-miR-15b-5p","TPD52","0","0","0","0","1","0","0","0","1","1"
"MIRT046424","hsa","hsa","hsa-miR-15b-5p","TTC1","0","0","0","0","1","0","0","0","1","1"
"MIRT046425","hsa","hsa","hsa-miR-15b-5p","LIN28B","0","0","0","0","1","0","0","0","1","1"
"MIRT046426","hsa","hsa","hsa-miR-15b-5p","TARDBP","0","0","0","0","1","0","0","0","1","1"
"MIRT046427","hsa","hsa","hsa-miR-15b-5p","PHLDB3","0","0","0","0","1","0","0","0","1","1"
"MIRT046428","hsa","hsa","hsa-miR-15b-5p","TNPO3","0","0","0","0","1","0","0","0","1","1"
"MIRT046429","hsa","hsa","hsa-miR-15b-5p","PPTC7","0","0","0","0","1","0","0","0","1","1"
"MIRT046430","hsa","hsa","hsa-miR-15b-5p","VPS13A","0","0","0","0","1","0","0","0","1","1"
"MIRT046431","hsa","hsa","hsa-miR-15b-5p","QRICH1","0","0","0","0","1","0","0","0","1","1"
"MIRT046432","hsa","hsa","hsa-miR-15b-5p","SCCPDH","0","0","0","0","1","0","0","0","1","1"
"MIRT046433","hsa","hsa","hsa-miR-15b-5p","NDFIP1","0","0","0","0","1","0","0","0","1","1"
"MIRT046434","hsa","hsa","hsa-miR-15b-5p","TCP1","0","0","0","0","1","0","0","0","1","1"
"MIRT046435","hsa","hsa","hsa-miR-15b-5p","DHFR","0","0","0","0","1","0","0","0","1","1"
"MIRT046436","hsa","hsa","hsa-miR-15b-5p","DSG2","0","0","0","0","1","0","0","0","1","1"
"MIRT046437","hsa","hsa","hsa-miR-15b-5p","EDC4","0","0","0","0","1","0","0","0","1","1"
"MIRT046438","hsa","hsa","hsa-miR-15b-5p","ECHS1","0","0","0","0","1","0","0","0","1","1"
"MIRT046439","hsa","hsa","hsa-miR-15b-5p","HNRNPM","0","0","0","0","1","0","0","0","1","1"
"MIRT046440","hsa","hsa","hsa-miR-15b-5p","PPIL1","0","0","0","0","1","0","0","0","1","5"
"MIRT046441","hsa","hsa","hsa-miR-15b-5p","TANGO6","0","0","0","0","1","0","0","0","1","1"
"MIRT046442","hsa","hsa","hsa-miR-15b-5p","FOXK1","0","0","0","0","1","0","0","0","1","3"
"MIRT046443","hsa","hsa","hsa-miR-15b-5p","KMT2C","0","0","0","0","1","0","0","0","1","1"
"MIRT046444","hsa","hsa","hsa-miR-15b-5p","LSM14A","0","0","0","0","1","0","0","0","1","1"
"MIRT046445","hsa","hsa","hsa-miR-15b-5p","MAPK1","0","0","0","0","1","0","0","0","1","1"
"MIRT046446","hsa","hsa","hsa-miR-15b-5p","CYBA","0","0","0","0","1","0","0","0","1","1"
"MIRT046447","hsa","hsa","hsa-miR-15b-5p","BEX1","0","0","0","0","1","0","0","0","1","1"
"MIRT046448","hsa","hsa","hsa-miR-15b-5p","CYP51A1","0","0","0","0","1","0","0","0","1","1"
"MIRT046449","hsa","hsa","hsa-miR-15b-5p","DNAJC5","0","0","0","0","1","0","0","0","1","1"
"MIRT046450","hsa","hsa","hsa-miR-15b-5p","CLCN6","0","0","0","0","1","0","0","0","1","1"
"MIRT046451","hsa","hsa","hsa-miR-15b-5p","SEPT2","0","0","0","0","1","0","0","0","1","2"
"MIRT046452","hsa","hsa","hsa-miR-15b-5p","BRAT1","0","0","0","0","1","0","0","0","1","1"
"MIRT046453","hsa","hsa","hsa-miR-15b-5p","HSPA8","0","0","0","0","1","0","0","0","1","1"
"MIRT046454","hsa","hsa","hsa-miR-15b-5p","TSPAN3","0","0","0","0","1","0","0","0","1","1"
"MIRT046455","hsa","hsa","hsa-miR-15b-5p","CHEK1","0","0","0","0","1","0","0","0","1","3"
"MIRT046456","hsa","hsa","hsa-miR-15b-5p","FADD","0","0","0","0","1","0","0","0","1","1"
"MIRT046457","hsa","hsa","hsa-miR-15b-5p","ZCCHC14","0","0","0","0","1","0","0","0","1","1"
"MIRT046458","hsa","hsa","hsa-miR-15b-5p","ITGA6","0","0","0","0","1","0","0","0","1","1"
"MIRT046459","hsa","hsa","hsa-miR-15b-5p","DDX5","0","0","0","0","1","0","0","0","1","1"
"MIRT046460","hsa","hsa","hsa-miR-15b-5p","MYCBP2","0","0","0","0","1","0","0","0","1","1"
"MIRT046461","hsa","hsa","hsa-miR-15b-5p","LRRC41","0","0","0","0","1","0","0","0","1","1"
"MIRT046462","hsa","hsa","hsa-miR-15b-5p","IFIH1","0","0","0","0","1","0","0","0","1","1"
"MIRT046463","hsa","hsa","hsa-miR-15b-5p","TERF2","0","0","0","0","1","0","0","0","1","1"
"MIRT046464","hsa","hsa","hsa-miR-15b-5p","RPLP0","0","0","0","0","1","0","0","0","1","1"
"MIRT046465","hsa","hsa","hsa-miR-15b-5p","NUP214","0","0","0","0","1","0","0","0","1","1"
"MIRT046466","hsa","hsa","hsa-miR-15b-5p","STT3B","0","0","0","0","1","0","0","0","1","1"
"MIRT046467","hsa","hsa","hsa-miR-15b-5p","TXLNA","0","0","0","0","1","0","0","0","1","1"
"MIRT046468","hsa","hsa","hsa-miR-15b-5p","B4GALT1","0","0","0","0","1","0","0","0","1","2"
"MIRT046469","hsa","hsa","hsa-miR-15b-5p","SFT2D1","0","0","0","0","1","0","0","0","1","1"
"MIRT046470","hsa","hsa","hsa-miR-15b-5p","FBXO30","0","0","0","0","1","0","0","0","1","1"
"MIRT046471","hsa","hsa","hsa-miR-15b-5p","JAK1","0","0","0","0","1","0","0","0","1","1"
"MIRT046472","hsa","hsa","hsa-miR-15b-5p","TMEM43","0","0","0","0","1","0","0","0","1","1"
"MIRT046473","hsa","hsa","hsa-miR-15b-5p","CKAP5","0","0","0","0","1","0","0","0","1","1"
"MIRT046474","hsa","hsa","hsa-miR-15b-5p","CRK","0","0","0","0","1","0","0","0","1","2"
"MIRT046475","hsa","hsa","hsa-miR-15b-5p","DHX30","0","0","0","0","1","0","0","0","1","1"
"MIRT046476","hsa","hsa","hsa-miR-15b-5p","TGOLN2","0","0","0","0","1","0","0","0","1","1"
"MIRT046477","hsa","hsa","hsa-miR-15b-5p","HNRNPH3","0","0","0","0","1","0","0","0","1","1"
"MIRT046478","hsa","hsa","hsa-miR-15b-5p","PRPS1","0","0","0","0","1","0","0","0","1","1"
"MIRT046479","hsa","hsa","hsa-miR-15b-5p","PTAR1","0","0","0","0","1","0","0","0","1","1"
"MIRT046480","hsa","hsa","hsa-miR-15b-5p","UVSSA","0","0","0","0","1","0","0","0","1","1"
"MIRT046481","hsa","hsa","hsa-miR-15b-5p","AGPAT5","0","0","0","0","1","0","0","0","1","1"
"MIRT046482","hsa","hsa","hsa-miR-15b-5p","INADL","0","0","0","0","1","0","0","0","1","1"
"MIRT046483","hsa","hsa","hsa-miR-15b-5p","ZNF217","0","0","0","0","1","0","0","0","1","1"
"MIRT046484","hsa","hsa","hsa-miR-15b-5p","GNL3L","0","0","0","0","1","0","0","0","1","1"
"MIRT046485","hsa","hsa","hsa-miR-15b-5p","VPS35","0","0","0","0","1","0","0","0","1","1"
"MIRT046486","hsa","hsa","hsa-miR-15b-5p","COIL","0","0","0","0","1","0","0","0","1","1"
"MIRT046487","hsa","hsa","hsa-miR-15b-5p","RAE1","0","0","0","0","1","0","0","0","1","1"
"MIRT046488","hsa","hsa","hsa-miR-15b-5p","UBE3B","0","0","0","0","1","0","0","0","1","1"
"MIRT046489","hsa","hsa","hsa-miR-15b-5p","PPIL2","0","0","0","0","1","0","0","0","1","1"
"MIRT046490","hsa","hsa","hsa-miR-15b-5p","AP2M1","0","0","0","0","1","0","0","0","1","1"
"MIRT046491","hsa","hsa","hsa-miR-15b-5p","ZNRF1","0","0","0","0","1","0","0","0","1","2"
"MIRT046492","hsa","hsa","hsa-miR-15b-5p","SF3B3","0","0","0","0","1","0","0","0","1","1"
