"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000002","hsa","hsa","hsa-miR-20a-5p","HIF1A","1","1","1","0","1","0","1","0","5","4"
"MIRT000178","hsa","hsa","hsa-miR-20a-5p","TCEAL1","1","1","1","1","0","0","1","0","5","2"
"MIRT000179","hsa","hsa","hsa-miR-20a-5p","CCND1","1","1","1","0","1","0","1","0","5","10"
"MIRT000180","hsa","hsa","hsa-miR-20a-5p","E2F1","1","1","1","1","1","0","1","0","6","7"
"MIRT000181","hsa","hsa","hsa-miR-20a-5p","BMPR2","1","1","1","0","1","0","1","0","5","2"
"MIRT000597","hsa","hsa","hsa-miR-20a-5p","CDKN1A","1","1","1","0","1","0","1","0","5","5"
"MIRT006289","hsa","hsa","hsa-miR-20a-5p","EGLN3","1","1","0","0","1","0","0","0","3","2"
"MIRT001082","mmu","mmu","mmu-miR-20a-5p","Stat3","1","1","1","0","0","0","1","0","4","2"
"MIRT001785","hsa","hsa","hsa-miR-20a-5p","TGFBR2","1","1","1","1","1","0","1","0","6","9"
"MIRT003010","hsa","hsa","hsa-miR-20a-5p","MAP3K12","1","0","0","0","0","0","1","0","2","1"
"MIRT003011","hsa","hsa","hsa-miR-20a-5p","BCL2","1","0","0","0","0","0","1","0","2","1"
"MIRT003012","hsa","hsa","hsa-miR-20a-5p","MEF2D","1","0","0","0","0","0","1","0","2","1"
"MIRT003369","hsa","hsa","hsa-miR-20a-5p","PTEN","1","1","1","0","1","0","1","0","5","3"
"MIRT003386","mmu","mmu","mmu-miR-20a-5p","Mapk14","1","1","1","0","0","0","1","0","4","1"
"MIRT003382","hsa","hsa","hsa-miR-20a-5p","APP","1","1","1","0","0","0","1","0","4","2"
"MIRT003662","mmu","mmu","mmu-miR-20a-5p","Zbtb7a","1","1","1","0","0","0","1","0","4","1"
"MIRT003742","hsa","hsa","hsa-miR-20a-5p","RUNX1","1","1","1","0","0","0","1","0","4","1"
"MIRT003903","hsa","hsa","hsa-miR-20a-5p","NRAS","0","1","0","0","0","0","1","0","2","1"
"MIRT004450","hsa","hsa","hsa-miR-20a-5p","VEGFA","1","0","0","0","0","0","1","0","2","1"
"MIRT004570","hsa","hsa","hsa-miR-20a-5p","BCL2L11","0","0","0","0","1","0","1","0","2","6"
"MIRT004711","hsa","hsa","hsa-miR-20a-5p","MUC17","0","0","1","1","0","0","1","0","3","1"
"MIRT005289","hsa","hsa","hsa-miR-20a-5p","MYC","0","1","1","0","0","0","1","0","3","2"
"MIRT005481","hsa","hsa","hsa-miR-20a-5p","BNIP2","0","1","1","0","1","0","1","0","4","6"
"MIRT005627","hsa","hsa","hsa-miR-20a-5p","THBS1","0","0","1","1","0","0","1","0","3","1"
"MIRT005631","hsa","hsa","hsa-miR-20a-5p","SMAD4","0","0","0","1","1","0","1","0","3","4"
"MIRT005681","mmu","mmu","mmu-miR-20a-5p","App","1","0","0","0","0","0","0","0","1","1"
"MIRT005854","hsa","hsa","hsa-miR-20a-5p","CCND2","1","0","0","0","0","0","0","0","1","1"
"MIRT005855","hsa","hsa","hsa-miR-20a-5p","E2F3","1","0","0","0","1","0","0","0","2","2"
"MIRT005856","hsa","hsa","hsa-miR-20a-5p","MAPK9","1","0","0","0","0","0","0","0","1","1"
