"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT036179","hsa","hsa","hsa-miR-320b","BCL9L","0","0","0","0","1","0","0","0","1","1"
"MIRT036180","hsa","hsa","hsa-miR-320b","ZNF600","0","0","0","0","1","0","0","0","1","1"
"MIRT036181","hsa","hsa","hsa-miR-320b","DCLRE1B","0","0","0","0","1","0","0","0","1","1"
"MIRT036182","hsa","hsa","hsa-miR-320b","MAP7D1","0","0","0","0","1","0","0","0","1","1"
"MIRT036183","hsa","hsa","hsa-miR-320b","SLC23A2","0","0","0","0","1","0","0","0","1","1"
"MIRT036184","hsa","hsa","hsa-miR-320b","ZNF581","0","0","0","0","1","0","0","0","1","1"
"MIRT036185","hsa","hsa","hsa-miR-320b","XPR1","0","0","0","0","1","0","0","0","1","1"
"MIRT036186","hsa","hsa","hsa-miR-320b","HIST2H3A","0","0","0","0","1","0","0","0","1","1"
"MIRT036187","hsa","hsa","hsa-miR-320b","RNF103","0","0","0","0","1","0","0","0","1","1"
"MIRT036188","hsa","hsa","hsa-miR-320b","COX6B1","0","0","0","0","1","0","0","0","1","1"
"MIRT036189","hsa","hsa","hsa-miR-320b","TMEM256","0","0","0","0","1","0","0","0","1","1"
"MIRT036190","hsa","hsa","hsa-miR-320b","ERC1","0","0","0","0","1","0","0","0","1","1"
"MIRT036191","hsa","hsa","hsa-miR-320b","PPIA","0","0","0","0","1","0","0","0","1","1"
"MIRT036192","hsa","hsa","hsa-miR-320b","GNAS","0","0","0","0","1","0","0","0","1","1"
"MIRT036193","hsa","hsa","hsa-miR-320b","ND2","0","0","0","0","1","0","0","0","1","1"
"MIRT036194","hsa","hsa","hsa-miR-320b","EPB41","0","0","0","0","1","0","0","0","1","1"
"MIRT036195","hsa","hsa","hsa-miR-320b","ZNF507","0","0","0","0","1","0","0","0","1","1"
"MIRT036196","hsa","hsa","hsa-miR-320b","EPM2AIP1","0","0","0","0","1","0","0","0","1","1"
"MIRT036197","hsa","hsa","hsa-miR-320b","RBM5","0","0","0","0","1","0","0","0","1","1"
"MIRT036198","hsa","hsa","hsa-miR-320b","HOXC11","0","0","0","0","1","0","0","0","1","1"
"MIRT036199","hsa","hsa","hsa-miR-320b","G3BP1","0","0","0","0","1","0","0","0","1","1"
"MIRT036200","hsa","hsa","hsa-miR-320b","TCEB3","0","0","0","0","1","0","0","0","1","1"
"MIRT036201","hsa","hsa","hsa-miR-320b","TIMELESS","0","0","0","0","1","0","0","0","1","1"
"MIRT036202","hsa","hsa","hsa-miR-320b","ATN1","0","0","0","0","1","0","0","0","1","1"
"MIRT036203","hsa","hsa","hsa-miR-320b","PURB","0","0","0","0","1","0","0","0","1","1"
"MIRT036204","hsa","hsa","hsa-miR-320b","PDCD11","0","0","0","0","1","0","0","0","1","1"
"MIRT036205","hsa","hsa","hsa-miR-320b","N4BP1","0","0","0","0","1","0","0","0","1","1"
"MIRT036206","hsa","hsa","hsa-miR-320b","VCL","0","0","0","0","1","0","0","0","1","1"
"MIRT036207","hsa","hsa","hsa-miR-320b","SRP68","0","0","0","0","1","0","0","0","1","1"
"MIRT036208","hsa","hsa","hsa-miR-320b","TUBB","0","0","0","0","1","0","0","0","1","1"
"MIRT036209","hsa","hsa","hsa-miR-320b","CHCHD2","0","0","0","0","1","0","0","0","1","1"
"MIRT036210","hsa","hsa","hsa-miR-320b","VOPP1","0","0","0","0","1","0","0","0","1","1"
"MIRT036211","hsa","hsa","hsa-miR-320b","PHF12","0","0","0","0","1","0","0","0","1","1"
"MIRT036212","hsa","hsa","hsa-miR-320b","ARF1","0","0","0","0","1","0","0","0","1","2"
"MIRT036213","hsa","hsa","hsa-miR-320b","DNASE2","0","0","0","0","1","0","0","0","1","1"
"MIRT036214","hsa","hsa","hsa-miR-320b","TXLNA","0","0","0","0","1","0","0","0","1","1"
"MIRT036215","hsa","hsa","hsa-miR-320b","PTP4A2","0","0","0","0","1","0","0","0","1","1"
"MIRT036216","hsa","hsa","hsa-miR-320b","ND1","0","0","0","0","1","0","0","0","1","1"
"MIRT036217","hsa","hsa","hsa-miR-320b","CCT3","0","0","0","0","1","0","0","0","1","1"
"MIRT036218","hsa","hsa","hsa-miR-320b","SH3GL1","0","0","0","0","1","0","0","0","1","1"
"MIRT036219","hsa","hsa","hsa-miR-320b","TPI1","0","0","0","0","1","0","0","0","1","1"
"MIRT036220","hsa","hsa","hsa-miR-320b","RTKN","0","0","0","0","1","0","0","0","1","1"
"MIRT036221","hsa","hsa","hsa-miR-320b","ATF7IP","0","0","0","0","1","0","0","0","1","1"
"MIRT036222","hsa","hsa","hsa-miR-320b","ACLY","0","0","0","0","1","0","0","0","1","1"
"MIRT036223","hsa","hsa","hsa-miR-320b","C12orf52","0","0","0","0","1","0","0","0","1","1"
"MIRT036224","hsa","hsa","hsa-miR-320b","KMT2A","0","0","0","0","1","0","0","0","1","1"
"MIRT036225","hsa","hsa","hsa-miR-320b","CLDN12","0","0","0","0","1","0","0","0","1","1"
"MIRT036226","hsa","hsa","hsa-miR-320b","TANGO6","0","0","0","0","1","0","0","0","1","1"
"MIRT036227","hsa","hsa","hsa-miR-320b","LY6G5B","0","0","0","0","1","0","0","0","1","1"
"MIRT036228","hsa","hsa","hsa-miR-320b","SATB2","0","0","0","0","1","0","0","0","1","1"
"MIRT036229","hsa","hsa","hsa-miR-320b","MAPK3","0","0","0","0","1","0","0","0","1","1"
"MIRT036230","hsa","hsa","hsa-miR-320b","PLOD3","0","0","0","0","1","0","0","0","1","1"
"MIRT036231","hsa","hsa","hsa-miR-320b","ATP5B","0","0","0","0","1","0","0","0","1","1"
"MIRT036232","hsa","hsa","hsa-miR-320b","MYC","1","1","1","0","1","0","0","0","4","2"
"MIRT036233","hsa","hsa","hsa-miR-320b","CMAS","0","0","0","0","1","0","0","0","1","1"
"MIRT036234","hsa","hsa","hsa-miR-320b","HNRNPUL1","0","0","0","0","1","0","0","0","1","1"
"MIRT036235","hsa","hsa","hsa-miR-320b","MKLN1","0","0","0","0","1","0","0","0","1","1"
"MIRT036236","hsa","hsa","hsa-miR-320b","EHMT2","0","0","0","0","1","0","0","0","1","1"
"MIRT036237","hsa","hsa","hsa-miR-320b","DHX34","0","0","0","0","1","0","0","0","1","1"
"MIRT036238","hsa","hsa","hsa-miR-320b","TRPC4AP","0","0","0","0","1","0","0","0","1","1"
"MIRT036239","hsa","hsa","hsa-miR-320b","HIST1H2BJ","0","0","0","0","1","0","0","0","1","1"
"MIRT036240","hsa","hsa","hsa-miR-320b","UBA52","0","0","0","0","1","0","0","0","1","1"
"MIRT036241","hsa","hsa","hsa-miR-320b","ITM2B","0","0","0","0","1","0","0","0","1","1"
"MIRT036242","hsa","hsa","hsa-miR-320b","ITFG3","0","0","0","0","1","0","0","0","1","1"
"MIRT036243","hsa","hsa","hsa-miR-320b","UQCRC1","0","0","0","0","1","0","0","0","1","1"
"MIRT036244","hsa","hsa","hsa-miR-320b","GLUL","0","0","0","0","1","0","0","0","1","1"
"MIRT036245","hsa","hsa","hsa-miR-320b","MLX","0","0","0","0","1","0","0","0","1","1"
"MIRT036246","hsa","hsa","hsa-miR-320b","GOLPH3","0","0","0","0","1","0","0","0","1","1"
"MIRT056773","hsa","hsa","hsa-miR-320b","ARID5B","0","0","0","0","1","0","0","0","1","1"
"MIRT063081","hsa","hsa","hsa-miR-320b","ULK1","0","0","0","0","1","0","0","0","1","1"
"MIRT063600","hsa","hsa","hsa-miR-320b","FBXO28","0","0","0","0","1","0","0","0","1","2"
"MIRT079023","hsa","hsa","hsa-miR-320b","TNRC6C","0","0","0","0","1","0","0","0","1","1"
"MIRT114485","hsa","hsa","hsa-miR-320b","PNN","0","0","0","0","1","0","0","0","1","1"
"MIRT127025","hsa","hsa","hsa-miR-320b","FAM208B","0","0","0","0","1","0","0","0","1","2"
