source,target
HIST1H2BD,POLR2D
HIST1H2BD,SUMO1
HIST1H2BD,H2AFX
HIST1H2BD,SMC1A
HIST1H2BD,HIST1H2BK
HIST1H2BD,CXCL8
DNA2,RFC2
DNA2,RAD9A
SUMO1,SMC1A
SUMO1,HIST1H2BK
SUMO1,H2AFX
POLR2D,RFC2
POLR2D,CCNT2
POLR2D,EIF4A3
POLR2D,CTDP1
POLR2D,CTPS1
POLR2D,HIST1H2BK
POLR2D,H2AFX
EIF4A3,CHTOP
EIF4A3,EIF4G2
EIF4A3,RPS6
EIF4A3,PPP2R2A
ERC1,CCNT2
TNRC6A,H2AFX
TNRC6A,MYC
HMGA2,HMGA1
MYC,POLR3D
MYC,HMGA1
MYC,DVL3
MYC,PMAIP1
MYC,NCOA3
RFC2,RAD18
RFC2,RAD9A
NCOA3,MAPK6
NCOA3,NCOA1
NCOA3,H2AFX
RPS6,UTP6
TGFBR1,TGFBR3
TGFBR1,PPP2R2A
TGFBR1,SAR1A
FPR1,CXCL8
CCNT2,CTDP1
MBD2,H2AFX
BUB3,SMC1A
H2AFX,CXCL8
H2AFX,SMC1A
H2AFX,HIST1H2BK
YWHAZ,PPP2R2A
SMC1A,HIST1H2BK
CXCL8,HIST1H2BK
POLR3D,CTPS1
