source,target
UBC,RFC2
UBC,WASL
UBC,HSPA8
UBC,RLIM
UBC,CUL3
UBC,VPS37B
UBC,RPS27A
UBC,POLR2D
UBC,RAB5A
UBC,CCNA2
UBC,ASB16
UBC,UBB
UBC,VPS37A
UBC,SMAD4
UBC,KLHL21
UBC,LDLR
UBC,PARP1
UBC,ORC1
UBC,RAB5B
UBC,ERBIN
UBC,TGFBR1
UBC,TRIM4
UBC,IGF2R
UBC,CHEK2
UBC,XIAP
UBC,FZD6
UBC,DNM2
UBB,RFC2
UBB,WASL
UBB,HSPA8
UBB,RLIM
UBB,CUL3
UBB,VPS37B
UBB,RPS27A
UBB,POLR2D
UBB,RAB5A
UBB,CCNA2
UBB,ASB16
UBB,ORC1
UBB,ERBIN
UBB,RAB5B
UBB,TGFBR1
UBB,TRIM4
UBB,CHEK2
UBB,XIAP
UBB,SMAD4
UBB,KLHL21
UBB,LDLR
UBB,PARP1
UBB,VPS37A
UBB,FZD6
UBB,DNM2
SNAPIN,DNM2
VPS37A,VPS37B
CHERP,SF3A1
CHERP,SRSF2
CHERP,PRPF4
ORC1,RPS27A
ORC1,CCNA2
POLR2D,RFC2
POLR2D,SF3A1
POLR2D,RPS27A
POLR2D,SRSF2
POLR2D,RPRD2
POLR2D,PRPF4
FZD6,RPS27A
TNRC6A,MYC
TNRC6A,TNRC6B
PPARA,MAPK1
PPARA,MYC
MYC,MAPK1
MYC,CDK4
MYC,CCND2
MYC,YY1
MYC,SMAD4
MYC,TNRC6B
MYC,TCF7L2
RFC2,RPS27A
RFC2,PARP1
BMPR2,ACVR1
BMPR2,SMAD4
BMPR2,XIAP
LDLR,WASL
LDLR,HSPA8
LDLR,RAB5A
LDLR,DNM2
LDLR,IGF2R
CUL3,RLIM
CUL3,KBTBD6
CUL3,TRIM4
CUL3,ASB16
CUL3,RPS27A
CUL3,KLHL21
ASB16,RLIM
ASB16,RPS27A
ASB16,KLHL21
GJA1,MAPK1
GJA1,DNM2
MAPK1,MET
TGFBR1,RPS27A
TGFBR1,SMAD4
TGFBR1,XIAP
CHEK2,RPS27A
CCNA2,CDK4
CCNA2,RPS27A
SF3A1,SRSF2
SF3A1,HSPA8
SF3A1,PRPF4
PRPF4,HSPA8
PRPF4,SRSF2
ACVR1,CDK4
ACVR1,CCND2
CCND2,CDK4
RPS15A,RPS27A
RPS15A,WDR31
SRSF2,HSPA8
TRIM4,RLIM
TRIM4,RPS27A
TRIM4,KLHL21
SOX4,TCF7L2
RAB5B,WASL
RAB5B,HSPA8
RAB5B,RPS27A
RAB5B,RAB5A
RAB5B,DNM2
RAB5B,IGF2R
PARP1,RPS27A
PARP1,SMAD4
RPS27A,HSPA8
RPS27A,RLIM
RPS27A,DNM2
RPS27A,RAB5A
RPS27A,KLHL21
RPS27A,WDR31
RPS27A,ERBIN
RPS27A,XIAP
RPS27A,SMAD4
RLIM,KLHL21
MET,WASL
MET,RAB5A
IGF2R,WASL
IGF2R,HSPA8
IGF2R,RAB5A
IGF2R,DNM2
IGF2R,STX16
DNM2,WASL
DNM2,HSPA8
DNM2,RAB5A
SMAD4,HSPA8
SMAD4,CDK4
HSPA8,WASL
HSPA8,RAB5A
WASL,RAB5A
