source,target
MCL1,AKT1
PTH1R,ADCY6
FN1,IGF1R
FN1,IQGAP1
CTNNA1,IGF1R
CTNNA1,IQGAP1
CTNNA1,CDC42
CTNNA1,RHOA
CTNNA1,FGFR1
CTNNA1,MET
EPHB4,AP2M1
EPHB4,CDC42
EPHB4,YES1
EPHB4,RHOA
LDLR,SCARB2
LDLR,AP2M1
LDLR,TGOLN2
TNRC6B,NOTCH2
TNRC6B,SP1
TNRC6B,HIST2H2AC
CUL4B,COPS3
CUL4B,DCAF13
CUL4B,SUMO1
ARHGDIA,CDC42
ARHGDIA,RHOA
ARHGDIA,GDI2
ARHGDIA,GDI1
PIK3C2A,CPD
PIK3C2A,SCARB2
PIK3C2A,TGOLN2
PIK3C2A,AP2M1
MET,CDC42
MET,RHOA
RHOA,PFN2
RHOA,ARHGAP29
RHOA,IQGAP1
RHOA,AKT1
RHOA,CDC42
RHOA,YES1
RHOA,GNAI1
RHOA,ARHGAP12
RHOA,GDI2
RHOA,MYO9B
RHOA,GDI1
PPP2CB,PSMD5
PPP2CB,STK3
PPP2CB,PPP2CA
PPP2CB,YES1
PPP2CB,TAOK1
PPP2CB,CDC42
PPP2CB,AKT1
PPP2CB,RANBP2
PPP2CB,XPO1
RANBP2,TAOK1
RANBP2,XPO1
RANBP2,SLBP
RANBP2,CDC42
RANBP2,SUMO1
RANBP2,HSPA13
RANBP2,PPP2CA
GNAI1,AKT1
GNAI1,ADCY6
GNAI1,CDC42
GDI2,CDC42
GDI2,GDI1
PSMD5,PPP2CA
SP1,MMP14
SP1,CAV1
XPO1,TAOK1
XPO1,CDC42
XPO1,SUMO1
XPO1,ELAVL1
XPO1,PPP2CA
HSPA13,DNAJB1
GDI1,CDC42
CPD,TGOLN2
ARHGAP29,CDC42
AP2M1,SCARB2
AP2M1,TGOLN2
ADCY6,IQGAP1
ADCY6,PKM
MYO9B,CDC42
DNAJB1,SIRT1
STK3,PPP2CA
ETF1,PPP2CA
MAP2K4,AKT1
MAP2K4,MAP3K3
NCOR2,AKT1
NCOR2,HIST2H2AC
CASP9,AKT1
PKM,H6PD
PFN2,CDC42
PPP2CA,TAOK1
PPP2CA,AKT1
PPP2CA,CDC42
PPP2CA,YES1
CDC42,TAOK1
CDC42,IQGAP1
CDC42,AKT1
CDC42,ARHGAP12
CDC42,YES1
YES1,AKT1
CBX6,HIST2H2AC
TGOLN2,SCARB2
PARVA,AKT1
HIST2H2AC,SIRT1
CAV1,AKT1
