source,target
GNAI2,GNAI3
TNRC6B,AGO2
TNRC6B,MYC
DICER1,AGO2
PKM,ENO1
PKM,MDH2
ISG20L2,RPL8
ISG20L2,RPL12
GJA1,FOS
ENO1,MYC
SRSF2,CASC3
SRSF2,SRRM2
SRSF2,SF3B3
SRSF2,HNRNPD
SRSF2,HNRNPH1
SRSF2,PCBP2
PPP2R2A,RPL8
PPP2R2A,CASC3
PPP2R2A,YWHAG
CDKN1B,PSMC4
CDKN1B,MYC
CDKN1B,YWHAG
CDKN1B,AKT3
CDKN1B,FOS
RPL8,EIF2S1
RPL8,RPS17
RPL8,RPS2
RPL8,EXOSC1
RPL8,EIF3B
RPL8,EEF2
RPL8,EXOSC10
RPL8,RPL12
RPL8,EIF3I
RPL8,CASC3
EEF2,RPS2
EEF2,RPL12
HMGA1,MYC
YWHAG,HAUS8
PCNT,HAUS8
HNRNPD,CASC3
HNRNPD,SRRM2
HNRNPD,SF3B3
HNRNPD,HNRNPH1
HNRNPD,PCBP2
BCL2L11,FOS
BCL2L11,BBC3
AGO2,MYC
GNAI3,AKT3
RPS2,EIF2S1
RPS2,RPL12
RPS2,EIF3I
RPS2,RPS17
RPS2,EXOSC1
RPS2,EIF3B
RPS2,EXOSC10
EIF3B,EIF2S1
EIF3B,RPL12
EIF3B,EIF3I
EXOSC10,EXOSC1
EXOSC10,SKIV2L
EXOSC1,RPL12
RPL12,EIF2S1
RPL12,RPS17
RPL12,EIF3I
ILK,FOS
HNRNPH1,CASC3
HNRNPH1,SRRM2
HNRNPH1,SF3B3
HNRNPH1,PCBP2
EIF2S1,MYC
EIF2S1,RPS17
EIF2S1,EIF3I
SF3B3,SRRM2
SF3B3,PCBP2
CASC3,SRRM2
PCBP2,SRRM2
MYC,FOS
