source,target
SOCS3,BTBD1
SOCS3,RPS27A
SOCS3,UBE3C
SOCS3,SOCS1
SOCS3,ZNRF1
SOCS3,JAK1
SOCS3,SH2B3
EED,RBBP7
EED,TFDP1
EED,NCOA6
TMED2,STX17
TMED2,DCTN4
TMED2,KIF5B
TMED2,NOTCH1
TMED2,ARF1
COPS7B,RPS27A
COPS7B,RAD23B
STX16,PLIN3
STX16,STX17
STX16,NAPG
STX16,GOLGA1
WDR43,RPS27A
WDR43,RPS4X
SH3GL1,PICALM
SH3GL1,RPS27A
SH3GL1,LDLR
KIF5B,KIF11
KIF5B,ARF1
KIF5B,DCTN4
PER2,RPS27A
RPA2,RPS27A
RPA2,ATM
RPA2,RAD23B
RPA2,REV3L
RPA2,PARP1
RPA2,FANCL
NCOA6,RBBP7
NCOA6,NCOA3
SMAD1,RPS27A
CBX3,RBBP7
ZNRF1,SOCS1
SNAI1,PARP1
PICALM,BLOC1S6
PICALM,ARF1
PICALM,RPS27A
PICALM,PPP3CB
PICALM,LDLR
SOCS1,BTBD1
SOCS1,RPS27A
SOCS1,UBE3C
SOCS1,JAK1
NAPG,STX17
NAPG,GOLGA1
ARF1,KIF11
PPP1R12A,PPP3CB
ATP2A2,NOTCH1
DLL4,NOTCH1
GALNT1,RAB18
NDEL1,TAOK1
NDEL1,PPP2R1B
NDEL1,XPO1
KBTBD6,BTBD1
PRKAR1A,CREM
TAOK1,XPO1
TAOK1,ATM
TAOK1,PPP2R1B
PPP2R1B,PSMD7
PPP2R1B,RPS27A
PPP2R1B,XPO1
RPS4X,EIF2S1
RPS4X,RPS27A
FANCL,RPS27A
PARP1,RPS27A
PARP1,RAD23B
RAB18,DCTN4
RPS27A,PSMD7
RPS27A,EIF2S1
RPS27A,NOTCH1
RPS27A,ATM
RPS27A,UBE3C
RPS27A,REV3L
RPS27A,RAD23B
MAPK8,ATM
MAPK8,JAK1
RBBP7,NCOA3
RBBP7,TFDP1
TNRC6A,NOTCH1
TNRC6A,TFDP1
MYBL2,TFDP1
BTBD1,UBE3C
XPO1,CREM
TFDP1,NOTCH1
TFDP1,ATM
ATM,RAD23B
