source,target
ARHGAP44,RAC1
LIN9,MYBL2
LIN9,TFDP1
CSNK1E,PER2
CSNK1E,MARK4
CSNK1E,RPS27A
CSNK1E,IQCB1
CSNK1E,RPS3
HDAC4,EP300
HDAC4,UBE2I
HDAC4,ANKRA2
HDAC4,NCOR2
HDAC4,NOTCH1
HDAC4,TBL1XR1
HDAC4,XPO1
PRKAR1A,CREM
TFDP1,MYBL2
TFDP1,CCND2
TFDP1,EP300
TFDP1,EED
TFDP1,NOTCH1
TFDP1,ATM
TFDP1,MYC
TFDP1,TNRC6A
MARK4,IQCB1
NFYB,MYC
DLL4,NOTCH1
GNA13,RAC1
GNA13,ARHGEF12
NCOA3,EP300
NCOA3,MED1
NCOA3,MYC
NCOA3,NCOR2
RBM14,MED1
RAB18,GALNT1
RAB18,DCTN4
MTDH,MYC
DDOST,RPS27A
DDOST,RPL27A
DDOST,RPL39
DDOST,RPL32
DDOST,RPS3
CCND2,MYC
CCND2,EP300
SOCS1,BTBD1
SOCS1,RPS27A
SOCS1,UBE3C
SOCS1,ZNRF1
SOCS1,SOCS3
SOCS1,JAK1
SOCS1,NEDD4
DHX8,MYBL2
KIF5B,KIF11
KIF5B,TMED2
KIF5B,ARCN1
KIF5B,ARF1
KIF5B,KLC2
KIF5B,DCTN4
KIF5B,RAC1
REV3L,RPS27A
REV3L,RPA2
MED1,NRBP1
MED1,EP300
MED1,NCOR2
MED1,TBL1XR1
RPA2,HUS1
RPA2,EP300
RPA2,RPS27A
RPA2,ATM
RPA2,DDB1
RPA2,RAD23B
RPA2,FANCL
ARF1,KIF11
ARF1,TMED2
ARF1,ARCN1
ARF1,RAC1
ARF1,KLC2
ARF1,PICALM
HMGA1,UBN1
HMGA1,MYC
EED,EP300
HNRNPU,SRSF7
HNRNPU,HNRNPA2B1
HNRNPU,CSDE1
HNRNPU,TRA2B
HNRNPU,HNRNPK
JAK1,MAP2K1
JAK1,SOCS3
JAK1,MYC
JAK1,MAPK8
ARCN1,KIF11
ARCN1,TMED2
ARCN1,DCTN4
ARCN1,KLC2
HNRNPA2B1,SNRNP40
HNRNPA2B1,SRSF7
HNRNPA2B1,TRA2B
HNRNPA2B1,HNRNPK
EIF2S1,EIF2S3
EIF2S1,EP300
EIF2S1,RPS27A
EIF2S1,MYC
EIF2S1,RPL27A
EIF2S1,RPL39
EIF2S1,RPL32
EIF2S1,RPS3
TMED2,DCTN4
TMED2,NOTCH1
GDI2,RAB10
GDI2,RAC1
ATP2A2,NOTCH1
MAP2K1,RPS27A
MAP2K1,RAC1
MAP2K1,NCOR2
MAP2K1,MAPK8
RPL32,EIF2S3
RPL32,RPS27A
RPL32,RPL27A
RPL32,RPL39
RPL32,RPS3
ARHGEF12,RAC1
PDCD10,MYC
NCOR2,EP300
NCOR2,RPS27A
NCOR2,NOTCH1
NCOR2,TBL1XR1
ATM,HUS1
ATM,TAOK1
ATM,RPS27A
ATM,MAPK8
ATM,UBE2I
ATM,RAD23B
SMAD1,RPS27A
NOTCH1,EP300
NOTCH1,RPS27A
NOTCH1,MYC
NOTCH1,TBL1XR1
NOTCH1,TNRC6A
JUP,RAC1
BTBD1,KBTBD6
BTBD1,NEDD4
BTBD1,UBE3C
BTBD1,SOCS3
MYC,SNAI1
MYC,IREB2
MYC,EP300
MYC,MAPK8
MYC,CSDE1
MYC,TNRC6A
HNRNPK,SNRNP40
HNRNPK,UBE2I
HNRNPK,SRSF7
HNRNPK,TRA2B
LDLR,SH3GL1
LDLR,PICALM
RPL39,EIF2S3
RPL39,RPS27A
RPL39,RPL27A
RPL39,RPS3
PLXNA1,RAC1
SNRNP40,SRSF7
PPP3CB,PPP1R12A
PPP3CB,PICALM
EP300,TBL1XR1
EP300,DDB1
EP300,RPS27A
EP300,MAPK8
XPO1,TAOK1
XPO1,CREM
XPO1,PPP2R1B
XPO1,UBE2I
XPO1,NDEL1
RPS3,EIF2S3
RPS3,RPS27A
RPS3,RPL27A
RPS3,MRPS16
KBTBD6,NEDD4
SH3GL1,PICALM
SH3GL1,RPS27A
NDEL1,TAOK1
NDEL1,PPP2R1B
KIF11,KLC2
NEDD4,RPS27A
NEDD4,UBE3C
NEDD4,SOCS3
NEDD4,ZNRF1
PSMD7,PPP2R1B
PSMD7,RPS27A
TAOK1,PPP2R1B
PICALM,RPS27A
PFN1,RAC1
SOCS3,RPS27A
SOCS3,UBE3C
SOCS3,ZNRF1
TRA2B,SRSF7
HUS1,FANCL
RPS27A,EIF2S3
RPS27A,PER2
RPS27A,FANCL
RPS27A,UBE2I
RPS27A,RPL27A
RPS27A,PPP2R1B
RPS27A,DDB1
RPS27A,UBE3C
RPS27A,RAD23B
OPHN1,RAC1
UBE2I,DDB1
UBE2I,RAD23B
KLC2,RAC1
MRPS16,MRPL38
RAC1,MAPK8
RPL27A,EIF2S3
RAD23B,DDB1
