source,target
SOCS3,BTBD1
SOCS3,UBE3C
SOCS3,SOCS1
SOCS3,ZNRF1
SOCS3,JAK1
EED,TFDP1
EED,BMI1
PSMA6,PSMD7
PSMA6,PPP2R1B
PSMA6,RELA
TMED2,DCTN4
TMED2,KIF5B
TMED2,NOTCH1
KIF5B,KIF11
KIF5B,DCTN4
RPA2,ATM
RPA2,RAD23B
RPA2,REV3L
RPA2,FANCL
ZNRF1,SOCS1
BMI1,UBE2I
SOCS1,BTBD1
SOCS1,UBE3C
SOCS1,JAK1
UBE2I,ATM
UBE2I,XPO1
UBE2I,RAD23B
PAWR,RELA
ATP2A2,NOTCH1
NDEL1,TAOK1
NDEL1,PPP2R1B
NDEL1,XPO1
PRKAR1A,CREM
KBTBD6,BTBD1
TAOK1,XPO1
TAOK1,ATM
TAOK1,PPP2R1B
PPP2R1B,PSMD7
PPP2R1B,XPO1
MAPK8,ATM
MAPK8,JAK1
BTBD1,UBE3C
TNRC6A,NOTCH1
TNRC6A,TFDP1
MYBL2,TFDP1
XPO1,CREM
XPO1,RELA
RELA,PSMD7
TFDP1,NOTCH1
TFDP1,ATM
ATM,RAD23B
