"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT006373","hsa","hsa","hsa-let-7i-5p","SOCS1","1","0","0","0","1","0","0","0","2","2"
"MIRT006401","hsa","hsa","hsa-let-7i-5p","IL13","1","0","0","0","0","0","1","0","2","1"
"MIRT003050","hsa","hsa","hsa-let-7i-5p","TLR4","1","1","1","0","0","0","1","0","4","1"
"MIRT024110","hsa","hsa","hsa-let-7i-5p","FANCD2","0","0","0","0","0","0","1","0","1","1"
"MIRT024111","hsa","hsa","hsa-let-7i-5p","DAD1","0","0","0","0","0","0","1","0","1","1"
"MIRT024112","hsa","hsa","hsa-let-7i-5p","BMP2K","0","0","0","0","0","0","1","0","1","1"
"MIRT024113","hsa","hsa","hsa-let-7i-5p","EIF4G2","0","0","0","0","1","0","1","0","2","3"
"MIRT024114","hsa","hsa","hsa-let-7i-5p","COPS8","0","1","0","0","0","0","0","0","1","1"
"MIRT024115","hsa","hsa","hsa-let-7i-5p","COPS6","0","1","0","0","0","0","0","0","1","1"
"MIRT024116","hsa","hsa","hsa-let-7i-5p","GPS1","0","1","0","0","0","0","0","0","1","1"
"MIRT046545","hsa","hsa","hsa-let-7i-5p","LPHN2","0","0","0","0","1","0","0","0","1","1"
"MIRT046546","hsa","hsa","hsa-let-7i-5p","CDC25A","0","0","0","0","1","0","0","0","1","1"
"MIRT046547","hsa","hsa","hsa-let-7i-5p","EGLN3","0","0","0","0","1","0","0","0","1","1"
"MIRT046548","hsa","hsa","hsa-let-7i-5p","TNS3","0","0","0","0","1","0","0","0","1","1"
"MIRT046549","hsa","hsa","hsa-let-7i-5p","RRM1","0","0","0","0","1","0","0","0","1","2"
"MIRT046550","hsa","hsa","hsa-let-7i-5p","EP400","0","0","0","0","1","0","0","0","1","1"
"MIRT046551","hsa","hsa","hsa-let-7i-5p","ARPC1A","0","0","0","0","1","0","0","0","1","1"
"MIRT046552","hsa","hsa","hsa-let-7i-5p","PIK3C2A","0","0","0","0","1","0","0","0","1","1"
"MIRT046553","hsa","hsa","hsa-let-7i-5p","KDM5B","0","0","0","0","1","0","0","0","1","1"
"MIRT046554","hsa","hsa","hsa-let-7i-5p","DDOST","0","0","0","0","1","0","0","0","1","1"
"MIRT053282","hsa","hsa","hsa-let-7i-5p","BMP4","1","1","1","0","0","0","0","0","3","1"
"MIRT063200","hsa","hsa","hsa-let-7i-5p","ADIPOR2","0","0","0","0","1","0","0","0","1","1"
"MIRT065692","hsa","hsa","hsa-let-7i-5p","ESPL1","0","0","0","0","1","0","0","0","1","2"
"MIRT066476","hsa","hsa","hsa-let-7i-5p","HMGA2","0","0","0","0","1","0","0","0","1","2"
"MIRT067404","hsa","hsa","hsa-let-7i-5p","TMTC3","0","0","0","0","1","0","0","0","1","1"
"MIRT068158","hsa","hsa","hsa-let-7i-5p","TXLNA","0","0","0","0","1","0","0","0","1","1"
"MIRT068533","hsa","hsa","hsa-let-7i-5p","NHLRC3","0","0","0","0","1","0","0","0","1","3"
"MIRT068793","hsa","hsa","hsa-let-7i-5p","FNDC3A","0","0","0","0","1","0","0","0","1","1"
"MIRT073009","hsa","hsa","hsa-let-7i-5p","ARID3B","0","0","0","0","1","0","0","0","1","3"
"MIRT073673","hsa","hsa","hsa-let-7i-5p","IGF1R","0","0","0","0","1","0","0","0","1","4"
"MIRT076228","hsa","hsa","hsa-let-7i-5p","SMCR8","0","0","0","0","1","0","0","0","1","3"
"MIRT077619","hsa","hsa","hsa-let-7i-5p","IGF2BP1","0","0","0","0","1","0","0","0","1","1"
"MIRT080403","hsa","hsa","hsa-let-7i-5p","ONECUT2","0","0","0","0","1","0","0","0","1","1"
"MIRT083305","hsa","hsa","hsa-let-7i-5p","ZCCHC3","0","0","0","0","1","0","0","0","1","1"
"MIRT084980","hsa","hsa","hsa-let-7i-5p","BACH1","0","0","0","0","1","0","0","0","1","1"
"MIRT094165","hsa","hsa","hsa-let-7i-5p","PCGF3","0","0","0","0","1","0","0","0","1","3"
"MIRT094465","hsa","hsa","hsa-let-7i-5p","SMARCAD1","0","0","0","0","1","0","0","0","1","2"
"MIRT095771","hsa","hsa","hsa-let-7i-5p","GRPEL2","0","0","0","0","1","0","0","0","1","5"
"MIRT100097","hsa","hsa","hsa-let-7i-5p","ABT1","0","0","0","0","1","0","0","0","1","4"
"MIRT112246","hsa","hsa","hsa-let-7i-5p","MDM4","0","0","0","0","1","0","0","0","1","2"
