"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000378","hsa","hsa","hsa-miR-101-3p","MYCN","1","1","0","0","1","0","1","0","4","5"
"MIRT000379","hsa","hsa","hsa-miR-101-3p","ATXN1","1","1","1","0","1","0","1","0","5","2"
"MIRT000381","hsa","hsa","hsa-miR-101-3p","EZH2","1","1","1","1","0","0","1","0","5","16"
"MIRT000430","hsa","hsa","hsa-miR-101-3p","APP","1","1","1","0","1","0","1","0","5","3"
"MIRT001219","hsa","hsa","hsa-miR-101-3p","FOS","1","1","1","0","0","0","1","0","4","6"
"MIRT002436","hsa","hsa","hsa-miR-101-3p","ICOS","0","0","0","0","0","0","1","0","1","1"
"MIRT006151","hsa","hsa","hsa-miR-101-3p","ATG4D","1","1","1","1","0","0","0","0","4","1"
"MIRT006149","hsa","hsa","hsa-miR-101-3p","STMN1","1","1","1","1","0","0","0","0","4","2"
"MIRT003921","hsa","hsa","hsa-miR-101-3p","MCL1","1","1","1","0","1","0","1","0","5","6"
"MIRT003965","hsa","hsa","hsa-miR-101-3p","COX2","1","0","1","1","0","0","1","0","4","2"
"MIRT004012","hsa","hsa","hsa-miR-101-3p","FBN2","0","1","0","0","0","0","1","0","2","1"
"MIRT004027","hsa","hsa","hsa-miR-101-3p","ARID1A","0","1","0","0","1","0","1","0","3","2"
"MIRT004084","hsa","hsa","hsa-miR-101-3p","SUZ12","0","1","0","0","0","0","1","0","2","1"
"MIRT004086","hsa","hsa","hsa-miR-101-3p","EED","0","1","0","0","0","0","1","0","2","1"
"MIRT004297","hsa","hsa","hsa-miR-101-3p","PTGS2","1","1","1","0","0","0","1","0","4","4"
"MIRT005560","hsa","hsa","hsa-miR-101-3p","ATM","1","0","1","0","0","0","1","0","3","1"
"MIRT005602","hsa","hsa","hsa-miR-101-3p","ATP5B","1","1","1","0","0","0","1","0","4","1"
"MIRT005876","hsa","hsa","hsa-miR-101-3p","DUSP1","1","1","1","0","0","0","0","0","3","1"
"MIRT006150","hsa","hsa","hsa-miR-101-3p","RAB5A","1","1","1","1","1","0","0","0","5","3"
"MIRT007091","hsa","hsa","hsa-miR-101-3p","SOX9","1","1","1","0","0","0","0","0","3","1"
"MIRT007188","hsa","hsa","hsa-miR-101-3p","DNMT3A","1","1","1","0","0","0","0","0","3","1"
"MIRT007375","hsa","hsa","hsa-miR-101-3p","FMR1","1","0","0","0","0","0","0","0","1","1"
"MIRT027240","hsa","hsa","hsa-miR-101-3p","PPP4R1","0","0","0","0","1","0","0","0","1","1"
"MIRT027241","hsa","hsa","hsa-miR-101-3p","CERK","0","0","0","0","1","0","0","0","1","1"
"MIRT027242","hsa","hsa","hsa-miR-101-3p","ANKFY1","0","0","0","0","1","0","0","0","1","1"
"MIRT027243","hsa","hsa","hsa-miR-101-3p","GMEB2","0","0","0","0","1","0","0","0","1","1"
"MIRT027244","hsa","hsa","hsa-miR-101-3p","TGFBR3","0","0","0","0","1","0","0","0","1","2"
