"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT001076","hsa","hsa","hsa-miR-133b","BCL2L2","1","1","1","0","0","0","1","0","4","5"
"MIRT001815","hsa","hsa","hsa-miR-133b","PKM","0","1","0","0","0","0","1","0","2","2"
"MIRT001985","hsa","hsa","hsa-miR-133b","CASP9","1","0","0","0","0","0","0","0","1","1"
"MIRT002354","hsa","hsa","hsa-miR-133b","PITX3","1","0","0","0","0","0","1","0","2","1"
"MIRT006554","hsa","hsa","hsa-miR-133b","FSCN1","1","1","1","0","0","0","0","0","3","3"
"MIRT003052","hsa","hsa","hsa-miR-133b","PTBP2","1","0","0","0","0","0","1","0","2","1"
"MIRT003260","hsa","hsa","hsa-miR-133b","MCL1","1","1","1","0","1","0","1","0","5","4"
"MIRT004460","hsa","hsa","hsa-miR-133b","IGF1R","1","1","0","0","0","0","1","0","3","2"
"MIRT004832","hsa","hsa","hsa-miR-133b","KCNH2","1","1","1","0","0","0","1","0","4","1"
"MIRT006650","hsa","hsa","hsa-miR-133b","FAIM","1","1","1","1","0","0","0","0","4","1"
"MIRT007069","hsa","hsa","hsa-miR-133b","EGFR","1","1","1","0","0","0","0","0","3","3"
"MIRT007113","hsa","hsa","hsa-miR-133b","FGFR1","1","1","1","0","0","0","0","0","3","1"
"MIRT007125","hsa","hsa","hsa-miR-133b","CDK13","1","0","0","0","0","0","0","0","1","1"
"MIRT007126","hsa","hsa","hsa-miR-133b","PTPRK","1","0","0","0","0","0","0","0","1","1"
"MIRT007127","hsa","hsa","hsa-miR-133b","RB1CC1","1","0","0","0","0","0","0","0","1","1"
"MIRT007128","hsa","hsa","hsa-miR-133b","CPNE3","1","0","0","0","0","0","0","0","1","1"
"MIRT007382","hsa","hsa","hsa-miR-133b","PRDM16","1","0","0","0","0","0","0","0","1","1"
"MIRT016690","hsa","hsa","hsa-miR-133b","KLF15","0","0","0","0","0","0","1","0","1","1"
"MIRT016691","hsa","hsa","hsa-miR-133b","MET","1","1","0","0","0","0","0","0","2","2"
"MIRT016692","hsa","hsa","hsa-miR-133b","ERG","1","0","0","0","0","0","0","0","1","1"
"MIRT016693","hsa","hsa","hsa-miR-133b","HCN2","1","0","0","0","0","0","0","0","1","1"
"MIRT016694","hsa","hsa","hsa-miR-133b","HCN4","1","1","1","0","0","0","1","0","4","1"
"MIRT052938","hsa","hsa","hsa-miR-133b","STK3","1","1","1","1","0","0","0","0","4","1"
"MIRT053177","hsa","hsa","hsa-miR-133b","CDC42","1","1","1","1","0","0","0","0","4","2"
"MIRT053178","hsa","hsa","hsa-miR-133b","RHOA","1","1","1","1","0","0","0","0","4","1"
"MIRT053596","hsa","hsa","hsa-miR-133b","GLI1","1","1","1","0","0","0","0","0","3","1"
"MIRT053758","hsa","hsa","hsa-miR-133b","SP1","1","1","0","0","0","0","0","0","2","1"
"MIRT054827","hsa","hsa","hsa-miR-133b","TAGLN2","1","1","1","0","0","0","0","0","3","1"
"MIRT054875","hsa","hsa","hsa-miR-133b","AKT1","1","1","1","0","0","0","0","0","3","1"
"MIRT055600","hsa","hsa","hsa-miR-133b","FAM160B1","0","0","0","0","1","0","0","0","1","1"
"MIRT438214","hsa","hsa","hsa-miR-133b","CXCR4","1","1","1","0","0","0","0","0","3","1"
