"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT316069","hsa","hsa","hsa-miR-145-3p","ABRACL","0","0","0","0","1","0","0","0","1","1"
"MIRT444562","hsa","hsa","hsa-miR-145-3p","TRA2B","0","0","0","0","1","0","0","1","2","1"
"MIRT445028","hsa","hsa","hsa-miR-145-3p","NTRK2","0","0","0","0","1","0","0","0","1","1"
"MIRT445541","hsa","hsa","hsa-miR-145-3p","TBC1D8","0","0","0","0","1","0","0","0","1","1"
"MIRT446571","hsa","hsa","hsa-miR-145-3p","ZSCAN16","0","0","0","0","1","0","0","0","1","1"
"MIRT455211","hsa","hsa","hsa-miR-145-3p","GNL1","0","0","0","0","1","0","0","0","1","1"
"MIRT479560","hsa","hsa","hsa-miR-145-3p","CDC5L","0","0","0","0","1","0","0","0","1","2"
"MIRT479793","hsa","hsa","hsa-miR-145-3p","CCND1","0","0","0","0","1","0","0","0","1","1"
"MIRT496226","hsa","hsa","hsa-miR-145-3p","JMJD1C","0","0","0","0","1","0","0","0","1","2"
"MIRT497096","hsa","hsa","hsa-miR-145-3p","GUCY1A2","0","0","0","0","1","0","0","0","1","1"
"MIRT497545","hsa","hsa","hsa-miR-145-3p","SLC13A4","0","0","0","0","1","0","0","0","1","1"
"MIRT498828","hsa","hsa","hsa-miR-145-3p","DNTTIP2","0","0","0","0","1","0","0","0","1","4"
"MIRT498932","hsa","hsa","hsa-miR-145-3p","TMEM106B","0","0","0","0","1","0","0","0","1","4"
"MIRT512398","hsa","hsa","hsa-miR-145-3p","BUB1","0","0","0","0","1","0","0","0","1","2"
"MIRT548933","hsa","hsa","hsa-miR-145-3p","CDK17","0","0","0","0","1","0","0","0","1","1"
"MIRT552552","hsa","hsa","hsa-miR-145-3p","ZFP36L2","0","0","0","0","1","0","0","0","1","1"
"MIRT553391","hsa","hsa","hsa-miR-145-3p","TRIM23","0","0","0","0","1","0","0","0","1","1"
"MIRT555092","hsa","hsa","hsa-miR-145-3p","PURB","0","0","0","0","1","0","0","0","1","1"
"MIRT558849","hsa","hsa","hsa-miR-145-3p","CDC23","0","0","0","0","1","0","0","0","1","1"
"MIRT558890","hsa","hsa","hsa-miR-145-3p","CCND2","0","0","0","0","1","0","0","0","1","1"
"MIRT559931","hsa","hsa","hsa-miR-145-3p","SOD2","0","0","0","0","1","0","0","0","1","1"
"MIRT560428","hsa","hsa","hsa-miR-145-3p","ANGPTL3","0","0","0","0","1","0","0","0","1","1"
"MIRT560556","hsa","hsa","hsa-miR-145-3p","SIGLEC14","0","0","0","0","1","0","0","0","1","1"
"MIRT560810","hsa","hsa","hsa-miR-145-3p","PPIP5K2","0","0","0","0","1","0","0","0","1","1"
"MIRT560951","hsa","hsa","hsa-miR-145-3p","POTED","0","0","0","0","1","0","0","0","1","1"
"MIRT561004","hsa","hsa","hsa-miR-145-3p","C8orf37","0","0","0","0","1","0","0","0","1","1"
"MIRT561060","hsa","hsa","hsa-miR-145-3p","SFT2D2","0","0","0","0","1","0","0","0","1","1"
"MIRT561094","hsa","hsa","hsa-miR-145-3p","DNAJC10","0","0","0","0","1","0","0","0","1","1"
"MIRT570759","hsa","hsa","hsa-miR-145-3p","AAK1","0","0","0","0","1","0","0","0","1","1"
"MIRT571408","hsa","hsa","hsa-miR-145-3p","PRPF38A","0","0","0","0","1","0","0","0","1","1"
"MIRT572144","hsa","hsa","hsa-miR-145-3p","DESI1","0","0","0","0","1","0","0","0","1","1"
"MIRT573771","hsa","hsa","hsa-miR-145-3p","PRKAG1","0","0","0","0","1","0","0","0","1","1"
"MIRT623789","hsa","hsa","hsa-miR-145-3p","GK5","0","0","0","0","1","0","0","0","1","1"
"MIRT623812","hsa","hsa","hsa-miR-145-3p","GGCX","0","0","0","0","1","0","0","0","1","1"
"MIRT630667","hsa","hsa","hsa-miR-145-3p","PDIA6","0","0","0","0","1","0","0","0","1","1"
"MIRT637056","hsa","hsa","hsa-miR-145-3p","LRRC2","0","0","0","0","1","0","0","0","1","1"
"MIRT641492","hsa","hsa","hsa-miR-145-3p","POLA2","0","0","0","0","1","0","0","0","1","1"
"MIRT646552","hsa","hsa","hsa-miR-145-3p","TMCC2","0","0","0","0","1","0","0","0","1","1"
"MIRT653530","hsa","hsa","hsa-miR-145-3p","SLC38A9","0","0","0","0","1","0","0","0","1","1"
"MIRT655445","hsa","hsa","hsa-miR-145-3p","PALM2-AKAP2","0","0","0","0","1","0","0","0","1","1"
"MIRT660790","hsa","hsa","hsa-miR-145-3p","AKAP2","0","0","0","0","1","0","0","0","1","1"
"MIRT660842","hsa","hsa","hsa-miR-145-3p","AGO2","0","0","0","0","1","0","0","0","1","1"
"MIRT698087","hsa","hsa","hsa-miR-145-3p","TPM1","0","0","0","0","1","0","0","0","1","1"
"MIRT698816","hsa","hsa","hsa-miR-145-3p","STK38","0","0","0","0","1","0","0","0","1","1"
"MIRT701617","hsa","hsa","hsa-miR-145-3p","MYO1B","0","0","0","0","1","0","0","0","1","1"
"MIRT710042","hsa","hsa","hsa-miR-145-3p","POLL","0","0","0","0","1","0","0","0","1","1"
"MIRT716439","hsa","hsa","hsa-miR-145-3p","RPS24","0","0","0","0","1","0","0","0","1","1"
"MIRT732404","hsa","hsa","hsa-miR-145-3p","SMAD3","1","0","1","0","0","0","0","0","2","1"
"MIRT4901932","hsa","hsa","hsa-miR-145-3p","RPS24","0","0","0","0","0","0","0","1","1","0"
"MIRT4911376","hsa","hsa","hsa-miR-145-3p","POLL","0","0","0","0","0","0","0","1","1","0"
"MIRT4930771","hsa","hsa","hsa-miR-145-3p","MYO1B","0","0","0","0","0","0","0","1","1","0"
"MIRT4934495","hsa","hsa","hsa-miR-145-3p","STK38","0","0","0","0","0","0","0","1","1","0"
