"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT006279","hsa","hsa","hsa-miR-19b-1-5p","ITGB8","1","0","0","0","0","0","0","0","1","1"
"MIRT006278","hsa","hsa","hsa-miR-19b-1-5p","CASP8","1","0","0","0","0","0","0","0","1","1"
"MIRT006276","hsa","hsa","hsa-miR-19b-1-5p","CCND1","0","1","0","0","0","0","0","0","1","1"
"MIRT006277","hsa","hsa","hsa-miR-19b-1-5p","KDR","1","0","0","0","0","0","0","0","1","1"
"MIRT006275","hsa","hsa","hsa-miR-19b-1-5p","FGFR2","1","1","0","0","0","0","0","0","2","1"
"MIRT038978","hsa","hsa","hsa-miR-19b-1-5p","DNAH8","0","0","0","0","1","0","0","0","1","1"
"MIRT038979","hsa","hsa","hsa-miR-19b-1-5p","ZDHHC6","0","0","0","0","1","0","0","0","1","1"
"MIRT063865","hsa","hsa","hsa-miR-19b-1-5p","RASSF8","0","0","0","0","1","0","0","0","1","3"
"MIRT077657","hsa","hsa","hsa-miR-19b-1-5p","IGF2BP1","0","0","0","0","1","0","0","0","1","1"
"MIRT078462","hsa","hsa","hsa-miR-19b-1-5p","MAP3K3","0","0","0","0","1","0","0","0","1","1"
"MIRT095249","hsa","hsa","hsa-miR-19b-1-5p","FAM13B","0","0","0","0","1","0","0","0","1","1"
"MIRT109491","hsa","hsa","hsa-miR-19b-1-5p","KLHL15","0","0","0","0","1","0","0","0","1","3"
"MIRT155379","hsa","hsa","hsa-miR-19b-1-5p","CCNT2","0","0","0","0","1","0","0","0","1","1"
"MIRT163209","hsa","hsa","hsa-miR-19b-1-5p","EDEM1","0","0","0","0","1","0","0","0","1","1"
"MIRT188327","hsa","hsa","hsa-miR-19b-1-5p","ARID1A","0","0","0","0","1","0","0","0","1","1"
"MIRT204724","hsa","hsa","hsa-miR-19b-1-5p","BZW1","0","0","0","0","1","0","0","0","1","2"
"MIRT236400","hsa","hsa","hsa-miR-19b-1-5p","HMGXB4","0","0","0","0","1","0","0","0","1","1"
"MIRT237115","hsa","hsa","hsa-miR-19b-1-5p","P2RY1","0","0","0","0","1","0","0","0","1","2"
"MIRT286943","hsa","hsa","hsa-miR-19b-1-5p","SOCS7","0","0","0","0","1","0","0","0","1","1"
"MIRT438800","hsa","hsa","hsa-miR-19b-1-5p","MYC","0","0","1","0","0","0","0","0","1","1"
"MIRT442522","hsa","hsa","hsa-miR-19b-1-5p","MOB3B","0","0","0","0","1","0","0","1","2","1"
"MIRT452257","hsa","hsa","hsa-miR-19b-1-5p","RPL30","0","0","0","0","1","0","0","0","1","1"
"MIRT473427","hsa","hsa","hsa-miR-19b-1-5p","MDM4","0","0","0","0","1","0","0","0","1","1"
"MIRT476782","hsa","hsa","hsa-miR-19b-1-5p","FOS","0","0","0","0","1","0","0","0","1","1"
"MIRT476941","hsa","hsa","hsa-miR-19b-1-5p","FAM83G","0","0","0","0","1","0","0","0","1","1"
"MIRT480183","hsa","hsa","hsa-miR-19b-1-5p","CALM2","0","0","0","0","1","0","0","0","1","3"
"MIRT489619","hsa","hsa","hsa-miR-19b-1-5p","ZNF384","0","0","0","0","1","0","0","0","1","1"
"MIRT492245","hsa","hsa","hsa-miR-19b-1-5p","SLC39A9","0","0","0","0","1","0","0","0","1","1"
"MIRT492421","hsa","hsa","hsa-miR-19b-1-5p","RGL2","0","0","0","0","1","0","0","0","1","1"
"MIRT494859","hsa","hsa","hsa-miR-19b-1-5p","ZNF99","0","0","0","0","1","0","0","0","1","1"
"MIRT497000","hsa","hsa","hsa-miR-19b-1-5p","SNAP25","0","0","0","0","1","0","0","0","1","1"
"MIRT501972","hsa","hsa","hsa-miR-19b-1-5p","MAPK6","0","0","0","0","1","0","0","0","1","1"
"MIRT504916","hsa","hsa","hsa-miR-19b-1-5p","CD38","0","0","0","0","1","0","0","0","1","2"
"MIRT507018","hsa","hsa","hsa-miR-19b-1-5p","HMGA2","0","0","0","0","1","0","0","0","1","3"
"MIRT510819","hsa","hsa","hsa-miR-19b-1-5p","SBNO1","0","0","0","0","1","0","0","0","1","2"
"MIRT514165","hsa","hsa","hsa-miR-19b-1-5p","PGPEP1","0","0","0","0","1","0","0","0","1","1"
"MIRT514327","hsa","hsa","hsa-miR-19b-1-5p","PSMG2","0","0","0","0","1","0","0","0","1","2"
"MIRT514428","hsa","hsa","hsa-miR-19b-1-5p","SLC38A7","0","0","0","0","1","0","0","0","1","1"
"MIRT514535","hsa","hsa","hsa-miR-19b-1-5p","ESR2","0","0","0","0","1","0","0","0","1","1"
"MIRT516116","hsa","hsa","hsa-miR-19b-1-5p","SRPX2","0","0","0","0","1","0","0","0","1","2"
"MIRT517758","hsa","hsa","hsa-miR-19b-1-5p","ZNF366","0","0","0","0","1","0","0","0","1","2"
"MIRT518494","hsa","hsa","hsa-miR-19b-1-5p","FAM161B","0","0","0","0","1","0","0","0","1","2"
"MIRT518511","hsa","hsa","hsa-miR-19b-1-5p","CASP10","0","0","0","0","1","0","0","0","1","1"
"MIRT518560","hsa","hsa","hsa-miR-19b-1-5p","GDPD1","0","0","0","0","1","0","0","0","1","1"
"MIRT518640","hsa","hsa","hsa-miR-19b-1-5p","NOM1","0","0","0","0","1","0","0","0","1","1"
"MIRT518728","hsa","hsa","hsa-miR-19b-1-5p","ABCG8","0","0","0","0","1","0","0","0","1","1"
"MIRT523563","hsa","hsa","hsa-miR-19b-1-5p","GGCX","0","0","0","0","1","0","0","0","1","2"
"MIRT526522","hsa","hsa","hsa-miR-19b-1-5p","YIPF6","0","0","0","0","1","0","0","0","1","1"
"MIRT530253","hsa","hsa","hsa-miR-19b-1-5p","ZNF620","0","0","0","0","1","0","0","0","1","1"
"MIRT531657","hsa","hsa","hsa-miR-19b-1-5p","ZFP14","0","0","0","0","1","0","0","0","1","1"
"MIRT532698","hsa","hsa","hsa-miR-19b-1-5p","TCN2","0","0","0","0","1","0","0","0","1","2"
"MIRT534018","hsa","hsa","hsa-miR-19b-1-5p","STXBP4","0","0","0","0","1","0","0","0","1","1"
"MIRT535747","hsa","hsa","hsa-miR-19b-1-5p","MYO10","0","0","0","0","1","0","0","0","1","2"
"MIRT544508","hsa","hsa","hsa-miR-19b-1-5p","GTF2E2","0","0","0","0","1","0","0","0","1","1"
"MIRT546757","hsa","hsa","hsa-miR-19b-1-5p","RLIM","0","0","0","0","1","0","0","0","1","1"
"MIRT547928","hsa","hsa","hsa-miR-19b-1-5p","HNRNPR","0","0","0","0","1","0","0","0","1","1"
"MIRT550129","hsa","hsa","hsa-miR-19b-1-5p","ZNF138","0","0","0","0","1","0","0","0","1","1"
"MIRT551762","hsa","hsa","hsa-miR-19b-1-5p","MED21","0","0","0","0","1","0","0","0","1","1"
"MIRT557726","hsa","hsa","hsa-miR-19b-1-5p","FYCO1","0","0","0","0","1","0","0","0","1","1"
"MIRT558923","hsa","hsa","hsa-miR-19b-1-5p","CBX1","0","0","0","0","1","0","0","0","1","1"
