"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT077742","hsa","hsa","hsa-miR-26a-1-3p","ZNF652","0","0","0","0","1","0","0","0","1","1"
"MIRT079067","hsa","hsa","hsa-miR-26a-1-3p","BIRC5","0","0","0","0","1","0","0","0","1","1"
"MIRT135004","hsa","hsa","hsa-miR-26a-1-3p","ZBTB18","0","0","0","0","1","0","0","0","1","2"
"MIRT404095","hsa","hsa","hsa-miR-26a-1-3p","HNRNPA3","0","0","0","0","1","0","0","0","1","1"
"MIRT404344","hsa","hsa","hsa-miR-26a-1-3p","RPL36A-HNRNPH2","0","0","0","0","1","0","0","0","1","1"
"MIRT446436","hsa","hsa","hsa-miR-26a-1-3p","ABHD2","0","0","0","0","1","0","0","1","2","1"
"MIRT491022","hsa","hsa","hsa-miR-26a-1-3p","LRPPRC","0","0","0","0","1","0","0","0","1","5"
"MIRT510248","hsa","hsa","hsa-miR-26a-1-3p","ATP5S","0","0","0","0","1","0","0","0","1","4"
"MIRT511162","hsa","hsa","hsa-miR-26a-1-3p","MCOLN2","0","0","0","0","1","0","0","0","1","2"
"MIRT512561","hsa","hsa","hsa-miR-26a-1-3p","INTS2","0","0","0","0","1","0","0","0","1","1"
"MIRT520257","hsa","hsa","hsa-miR-26a-1-3p","USP42","0","0","0","0","1","0","0","0","1","3"
"MIRT526420","hsa","hsa","hsa-miR-26a-1-3p","ZNF695","0","0","0","0","1","0","0","0","1","1"
"MIRT528787","hsa","hsa","hsa-miR-26a-1-3p","UTRN","0","0","0","0","1","0","0","0","1","1"
"MIRT529508","hsa","hsa","hsa-miR-26a-1-3p","IYD","0","0","0","0","1","0","0","0","1","1"
"MIRT531786","hsa","hsa","hsa-miR-26a-1-3p","CYTIP","0","0","0","0","1","0","0","0","1","1"
"MIRT534030","hsa","hsa","hsa-miR-26a-1-3p","STX7","0","0","0","0","1","0","0","0","1","1"
"MIRT534324","hsa","hsa","hsa-miR-26a-1-3p","SHISA6","0","0","0","0","1","0","0","0","1","1"
"MIRT539550","hsa","hsa","hsa-miR-26a-1-3p","AAK1","0","0","0","0","1","0","0","0","1","2"
"MIRT539578","hsa","hsa","hsa-miR-26a-1-3p","UPP2","0","0","0","0","1","0","0","0","1","1"
"MIRT548670","hsa","hsa","hsa-miR-26a-1-3p","CSRNP3","0","0","0","0","1","0","0","0","1","1"
"MIRT619551","hsa","hsa","hsa-miR-26a-1-3p","GABRG2","0","0","0","0","1","0","0","0","1","1"
"MIRT622516","hsa","hsa","hsa-miR-26a-1-3p","RBM20","0","0","0","0","1","0","0","0","1","1"
"MIRT622568","hsa","hsa","hsa-miR-26a-1-3p","PTEN","0","0","0","0","1","0","0","0","1","2"
"MIRT626446","hsa","hsa","hsa-miR-26a-1-3p","SRSF7","0","0","0","0","1","0","0","0","1","1"
"MIRT637564","hsa","hsa","hsa-miR-26a-1-3p","KDELR1","0","0","0","0","1","0","0","0","1","1"
"MIRT638695","hsa","hsa","hsa-miR-26a-1-3p","GABRB1","0","0","0","0","1","0","0","0","1","1"
"MIRT641089","hsa","hsa","hsa-miR-26a-1-3p","ZKSCAN2","0","0","0","0","1","0","0","0","1","1"
"MIRT641941","hsa","hsa","hsa-miR-26a-1-3p","SCOC","0","0","0","0","1","0","0","0","1","1"
"MIRT643068","hsa","hsa","hsa-miR-26a-1-3p","CCDC149","0","0","0","0","1","0","0","0","1","1"
"MIRT645583","hsa","hsa","hsa-miR-26a-1-3p","SAR1A","0","0","0","0","1","0","0","0","1","2"
"MIRT646880","hsa","hsa","hsa-miR-26a-1-3p","PLSCR1","0","0","0","0","1","0","0","0","1","1"
"MIRT648090","hsa","hsa","hsa-miR-26a-1-3p","FAM192A","0","0","0","0","1","0","0","0","1","1"
"MIRT648652","hsa","hsa","hsa-miR-26a-1-3p","ASB16","0","0","0","0","1","0","0","0","1","1"
"MIRT651114","hsa","hsa","hsa-miR-26a-1-3p","ZNF48","0","0","0","0","1","0","0","0","1","1"
"MIRT652864","hsa","hsa","hsa-miR-26a-1-3p","TAB1","0","0","0","0","1","0","0","0","1","1"
"MIRT653228","hsa","hsa","hsa-miR-26a-1-3p","SOWAHC","0","0","0","0","1","0","0","0","1","1"
"MIRT655047","hsa","hsa","hsa-miR-26a-1-3p","PKN2","0","0","0","0","1","0","0","0","1","1"
"MIRT655188","hsa","hsa","hsa-miR-26a-1-3p","PHF13","0","0","0","0","1","0","0","0","1","1"
"MIRT657738","hsa","hsa","hsa-miR-26a-1-3p","GOSR1","0","0","0","0","1","0","0","0","1","1"
"MIRT659072","hsa","hsa","hsa-miR-26a-1-3p","DEPTOR","0","0","0","0","1","0","0","0","1","1"
"MIRT661215","hsa","hsa","hsa-miR-26a-1-3p","KANK2","0","0","0","0","1","0","0","0","1","1"
"MIRT663030","hsa","hsa","hsa-miR-26a-1-3p","ZNF326","0","0","0","0","1","0","0","0","1","1"
"MIRT664078","hsa","hsa","hsa-miR-26a-1-3p","FGFBP3","0","0","0","0","1","0","0","0","1","1"
"MIRT667660","hsa","hsa","hsa-miR-26a-1-3p","LANCL3","0","0","0","0","1","0","0","0","1","1"
"MIRT689403","hsa","hsa","hsa-miR-26a-1-3p","ZNF573","0","0","0","0","1","0","0","0","1","1"
"MIRT695877","hsa","hsa","hsa-miR-26a-1-3p","C19orf52","0","0","0","0","1","0","0","0","1","1"
"MIRT697564","hsa","hsa","hsa-miR-26a-1-3p","ZBTB10","0","0","0","0","1","0","0","0","1","1"
"MIRT705648","hsa","hsa","hsa-miR-26a-1-3p","ANP32B","0","0","0","0","1","0","0","0","1","1"
"MIRT712278","hsa","hsa","hsa-miR-26a-1-3p","PPIP5K2","0","0","0","0","1","0","0","0","1","1"
