"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000109","hsa","hsa","hsa-miR-26a-5p","HMGA2","1","1","1","0","0","0","1","0","4","5"
"MIRT000110","hsa","hsa","hsa-miR-26a-5p","HMGA1","1","1","1","0","0","0","0","0","3","5"
"MIRT000111","hsa","hsa","hsa-miR-26a-5p","CCNE2","1","1","1","0","0","0","1","0","4","2"
"MIRT000112","hsa","hsa","hsa-miR-26a-5p","CCND2","1","1","0","0","1","0","1","0","4","6"
"MIRT006389","hsa","hsa","hsa-miR-26a-5p","ESR1","1","0","0","0","0","0","0","0","1","1"
"MIRT006306","hsa","hsa","hsa-miR-26a-5p","CDK6","1","1","0","0","0","0","0","0","2","1"
"MIRT001021","hsa","hsa","hsa-miR-26a-5p","CDK8","0","1","0","0","0","0","1","0","2","2"
"MIRT001022","hsa","hsa","hsa-miR-26a-5p","CDC6","1","1","0","0","0","0","1","0","3","3"
"MIRT001039","hsa","hsa","hsa-miR-26a-5p","LIF","0","0","0","0","0","0","1","0","1","2"
"MIRT001095","hsa","hsa","hsa-miR-26a-5p","PTEN","1","1","1","0","0","0","1","0","4","7"
"MIRT001771","hsa","hsa","hsa-miR-26a-5p","EZH2","1","1","1","1","0","0","1","0","5","11"
"MIRT001772","hsa","hsa","hsa-miR-26a-5p","PLAG1","1","0","0","1","0","0","1","0","3","2"
"MIRT002315","hsa","hsa","hsa-miR-26a-5p","SERBP1","1","1","0","0","0","0","1","0","3","3"
"MIRT002340","hsa","hsa","hsa-miR-26a-5p","SMAD1","1","1","1","0","0","0","1","0","4","6"
"MIRT003213","hsa","hsa","hsa-miR-26a-5p","RB1","1","1","1","1","0","0","1","0","5","2"
"MIRT003212","hsa","hsa","hsa-miR-26a-5p","MAP3K2","1","1","0","0","0","0","1","0","3","2"
"MIRT006309","hsa","hsa","hsa-miR-26a-5p","CCNE1","1","1","0","0","1","0","0","0","3","2"
"MIRT003803","hsa","hsa","hsa-miR-26a-5p","SMAD4","1","1","0","0","0","0","1","0","3","3"
"MIRT003968","hsa","hsa","hsa-miR-26a-5p","MYC","0","1","0","0","0","0","1","0","2","2"
"MIRT004338","hsa","hsa","hsa-miR-26a-5p","CTGF","0","1","0","0","0","0","1","0","2","2"
"MIRT004339","hsa","hsa","hsa-miR-26a-5p","STRADB","0","1","0","0","1","0","1","0","3","3"
"MIRT004615","hsa","hsa","hsa-miR-26a-5p","IFNB1","1","0","1","0","0","0","1","0","3","2"
"MIRT004676","hsa","hsa","hsa-miR-26a-5p","GSK3B","1","1","1","1","1","0","1","0","6","8"
"MIRT005587","hsa","hsa","hsa-miR-26a-5p","CPEB2","1","0","1","0","0","0","1","0","3","2"
"MIRT005588","hsa","hsa","hsa-miR-26a-5p","CPEB3","1","0","1","0","1","0","1","0","4","2"
"MIRT005589","hsa","hsa","hsa-miR-26a-5p","CPEB4","1","0","1","0","0","0","1","0","3","2"
"MIRT005751","hsa","hsa","hsa-miR-26a-5p","GDAP1","1","1","1","0","0","0","0","0","3","1"
"MIRT005920","hsa","hsa","hsa-miR-26a-5p","MTDH","1","1","1","0","1","0","0","0","4","3"
"MIRT006711","hsa","hsa","hsa-miR-26a-5p","ABCA1","1","0","1","0","0","0","0","0","2","1"
