"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT006325","hsa","hsa","hsa-miR-30b-5p","SOCS1","1","1","1","0","1","0","0","0","4","4"
"MIRT006324","hsa","hsa","hsa-miR-30b-5p","BCL6","1","1","1","0","0","0","0","0","3","1"
"MIRT006320","hsa","hsa","hsa-miR-30b-5p","SMAD1","1","1","0","0","0","0","0","0","2","1"
"MIRT006303","hsa","hsa","hsa-miR-30b-5p","CCNE2","1","1","1","0","0","0","0","0","3","2"
"MIRT006610","mmu","mmu","hsa-miR-30b-5p","Snai1","1","1","0","0","0","0","0","0","2","1"
"MIRT006761","hsa","hsa","hsa-miR-30b-5p","SNAI1","1","1","1","0","0","0","0","0","3","1"
"MIRT007067","hsa","hsa","hsa-miR-30b-5p","CAT","1","1","1","0","0","0","0","0","3","1"
"MIRT023404","hsa","hsa","hsa-miR-30b-5p","KLHL28","0","0","0","0","1","0","0","0","1","1"
"MIRT023405","hsa","hsa","hsa-miR-30b-5p","USP53","0","0","0","0","1","0","0","0","1","1"
"MIRT023406","hsa","hsa","hsa-miR-30b-5p","CHD1","0","0","0","0","1","0","0","0","1","2"
"MIRT023407","hsa","hsa","hsa-miR-30b-5p","COPS7B","0","0","0","0","1","0","0","0","1","1"
"MIRT023408","hsa","hsa","hsa-miR-30b-5p","MYO1E","0","0","0","0","1","0","0","0","1","1"
"MIRT023409","hsa","hsa","hsa-miR-30b-5p","RGMB","0","0","0","0","1","0","0","0","1","1"
"MIRT023410","hsa","hsa","hsa-miR-30b-5p","FBXO3","0","0","0","0","1","0","0","0","1","1"
"MIRT023411","hsa","hsa","hsa-miR-30b-5p","SRPR","0","0","0","0","1","0","0","0","1","2"
"MIRT023412","hsa","hsa","hsa-miR-30b-5p","BLOC1S6","0","0","0","0","1","0","0","0","1","1"
"MIRT023413","hsa","hsa","hsa-miR-30b-5p","PLIN3","0","0","0","0","1","0","0","0","1","1"
"MIRT023414","hsa","hsa","hsa-miR-30b-5p","KBTBD6","0","0","0","0","1","0","0","0","1","2"
"MIRT023415","hsa","hsa","hsa-miR-30b-5p","ZNF543","0","0","0","0","1","0","0","0","1","2"
"MIRT023416","hsa","hsa","hsa-miR-30b-5p","ZFYVE20","0","0","0","0","1","0","0","0","1","1"
"MIRT023417","hsa","hsa","hsa-miR-30b-5p","FAM8A1","0","0","0","0","1","0","0","0","1","2"
"MIRT023418","hsa","hsa","hsa-miR-30b-5p","NCOA6","0","0","0","0","1","0","0","0","1","1"
"MIRT023419","hsa","hsa","hsa-miR-30b-5p","TRERF1","0","0","0","0","1","0","0","0","1","1"
"MIRT023420","hsa","hsa","hsa-miR-30b-5p","ZNF567","0","0","0","0","1","0","0","0","1","1"
"MIRT023421","hsa","hsa","hsa-miR-30b-5p","DCAF12","0","0","0","0","1","0","0","0","1","1"
"MIRT023422","hsa","hsa","hsa-miR-30b-5p","CLDN12","0","0","0","0","1","0","0","0","1","1"
"MIRT023423","hsa","hsa","hsa-miR-30b-5p","PNN","0","0","0","0","1","0","0","0","1","1"
"MIRT023424","hsa","hsa","hsa-miR-30b-5p","WDR89","0","0","0","0","1","0","0","0","1","1"
"MIRT023425","hsa","hsa","hsa-miR-30b-5p","PHF13","0","0","0","0","1","0","0","0","1","3"
"MIRT023426","hsa","hsa","hsa-miR-30b-5p","RRAGD","0","0","0","0","1","0","0","0","1","1"
"MIRT023427","hsa","hsa","hsa-miR-30b-5p","ZBTB38","0","0","0","0","1","0","0","0","1","1"
"MIRT023428","hsa","hsa","hsa-miR-30b-5p","PDCD10","0","0","0","0","1","0","0","0","1","2"
"MIRT023429","hsa","hsa","hsa-miR-30b-5p","ZNF770","0","0","0","0","1","0","0","0","1","1"
"MIRT023430","hsa","hsa","hsa-miR-30b-5p","NACC2","0","0","0","0","1","0","0","0","1","2"
"MIRT023431","hsa","hsa","hsa-miR-30b-5p","FRZB","0","0","0","0","1","0","0","0","1","1"
"MIRT023432","hsa","hsa","hsa-miR-30b-5p","METTL21D","0","0","0","0","1","0","0","0","1","1"
"MIRT023433","hsa","hsa","hsa-miR-30b-5p","ZDHHC17","0","0","0","0","1","0","0","0","1","1"
"MIRT023434","hsa","hsa","hsa-miR-30b-5p","CDCA7","0","0","0","0","1","0","0","0","1","1"
"MIRT023435","hsa","hsa","hsa-miR-30b-5p","HIC2","0","0","0","0","1","0","0","0","1","4"
"MIRT023436","hsa","hsa","hsa-miR-30b-5p","OTUD4","0","0","0","0","1","0","0","0","1","2"
"MIRT023437","hsa","hsa","hsa-miR-30b-5p","GLCE","0","0","0","0","1","0","0","0","1","2"
"MIRT023438","hsa","hsa","hsa-miR-30b-5p","SNTB2","0","0","0","0","1","0","0","0","1","1"
"MIRT023439","hsa","hsa","hsa-miR-30b-5p","ARID3A","0","0","0","0","1","0","0","0","1","3"
"MIRT023440","hsa","hsa","hsa-miR-30b-5p","AZIN1","0","0","0","0","1","0","0","0","1","4"
"MIRT023441","hsa","hsa","hsa-miR-30b-5p","GNA13","0","0","0","0","1","0","0","0","1","2"
"MIRT023442","hsa","hsa","hsa-miR-30b-5p","NAA25","0","0","0","0","1","0","0","0","1","1"
"MIRT023443","hsa","hsa","hsa-miR-30b-5p","CD2AP","0","0","0","0","1","0","0","0","1","2"
"MIRT023444","hsa","hsa","hsa-miR-30b-5p","TNRC6C","0","0","0","0","1","0","0","0","1","1"
"MIRT023445","hsa","hsa","hsa-miR-30b-5p","SOX4","0","0","0","0","1","0","0","0","1","2"
"MIRT023446","hsa","hsa","hsa-miR-30b-5p","EML4","0","0","0","0","1","0","0","0","1","3"
"MIRT023447","hsa","hsa","hsa-miR-30b-5p","AP2A1","0","0","0","0","1","0","0","0","1","1"
"MIRT023448","hsa","hsa","hsa-miR-30b-5p","ATG12","1","1","1","0","1","0","0","0","4","2"
"MIRT023449","hsa","hsa","hsa-miR-30b-5p","SYPL1","0","0","0","0","1","0","0","0","1","1"
"MIRT023450","hsa","hsa","hsa-miR-30b-5p","BDP1","0","0","0","0","1","0","0","0","1","1"
"MIRT023451","hsa","hsa","hsa-miR-30b-5p","PGM3","0","0","0","0","1","0","0","0","1","2"
"MIRT023452","hsa","hsa","hsa-miR-30b-5p","DDAH1","0","0","0","0","1","0","0","0","1","2"
"MIRT023453","hsa","hsa","hsa-miR-30b-5p","SH2B3","0","0","0","0","1","0","0","0","1","1"
"MIRT023454","hsa","hsa","hsa-miR-30b-5p","RFX7","0","0","0","0","1","0","0","0","1","1"
"MIRT023455","hsa","hsa","hsa-miR-30b-5p","KLF10","0","0","0","0","1","0","0","0","1","2"
"MIRT023456","hsa","hsa","hsa-miR-30b-5p","YOD1","0","0","0","0","1","0","0","0","1","1"
"MIRT023457","hsa","hsa","hsa-miR-30b-5p","GNPDA1","0","0","0","0","1","0","0","0","1","1"
"MIRT023458","hsa","hsa","hsa-miR-30b-5p","TAOK1","0","0","0","0","1","0","0","0","1","2"
"MIRT023459","hsa","hsa","hsa-miR-30b-5p","GFPT2","0","0","0","0","1","0","0","0","1","1"
"MIRT023460","hsa","hsa","hsa-miR-30b-5p","B3GNT5","0","0","0","0","1","0","0","0","1","1"
"MIRT023461","hsa","hsa","hsa-miR-30b-5p","MIER3","0","0","0","0","1","0","0","0","1","2"
"MIRT023462","hsa","hsa","hsa-miR-30b-5p","PIP4K2A","0","0","0","0","1","0","0","0","1","1"
"MIRT046108","hsa","hsa","hsa-miR-30b-5p","CAMKV","0","0","0","0","1","0","0","0","1","1"
"MIRT046109","hsa","hsa","hsa-miR-30b-5p","IMPDH2","0","0","0","0","1","0","0","0","1","1"
"MIRT046110","hsa","hsa","hsa-miR-30b-5p","KLF4","0","0","0","0","1","0","0","0","1","1"
"MIRT046111","hsa","hsa","hsa-miR-30b-5p","LRP8","0","0","0","0","1","0","0","0","1","1"
"MIRT046112","hsa","hsa","hsa-miR-30b-5p","TSHZ3","0","0","0","0","1","0","0","0","1","1"
"MIRT046113","hsa","hsa","hsa-miR-30b-5p","ATP5C1","0","0","0","0","1","0","0","0","1","1"
"MIRT046114","hsa","hsa","hsa-miR-30b-5p","BAZ1B","0","0","0","0","1","0","0","0","1","1"
"MIRT046115","hsa","hsa","hsa-miR-30b-5p","RUNX2","1","0","1","1","1","0","0","0","4","2"
"MIRT046116","hsa","hsa","hsa-miR-30b-5p","NIPBL","0","0","0","0","1","0","0","0","1","1"
"MIRT046117","hsa","hsa","hsa-miR-30b-5p","FEM1B","0","0","0","0","1","0","0","0","1","1"
"MIRT046118","hsa","hsa","hsa-miR-30b-5p","WDR43","0","0","0","0","1","0","0","0","1","1"
"MIRT046119","hsa","hsa","hsa-miR-30b-5p","STX17","0","0","0","0","1","0","0","0","1","1"
"MIRT046120","hsa","hsa","hsa-miR-30b-5p","IKZF4","0","0","0","0","1","0","0","0","1","1"
"MIRT046121","hsa","hsa","hsa-miR-30b-5p","CSF1","0","0","0","0","1","0","0","0","1","1"
"MIRT046122","hsa","hsa","hsa-miR-30b-5p","POLRMT","0","0","0","0","1","0","0","0","1","1"
"MIRT046123","hsa","hsa","hsa-miR-30b-5p","CHAT","0","0","0","0","1","0","0","0","1","1"
"MIRT046124","hsa","hsa","hsa-miR-30b-5p","CEP152","0","0","0","0","1","0","0","0","1","1"
"MIRT046125","hsa","hsa","hsa-miR-30b-5p","FERMT2","0","0","0","0","1","0","0","0","1","1"
"MIRT046126","hsa","hsa","hsa-miR-30b-5p","HEY1","0","0","0","0","1","0","0","0","1","1"
"MIRT046127","hsa","hsa","hsa-miR-30b-5p","RAB18","0","0","0","0","1","0","0","0","1","1"
"MIRT046128","hsa","hsa","hsa-miR-30b-5p","OLFML2B","0","0","0","0","1","0","0","0","1","1"
"MIRT046129","hsa","hsa","hsa-miR-30b-5p","RBBP7","0","0","0","0","1","0","0","0","1","1"
"MIRT046130","hsa","hsa","hsa-miR-30b-5p","SERBP1","0","0","0","0","1","0","0","0","1","1"
"MIRT046131","hsa","hsa","hsa-miR-30b-5p","MATR3","0","0","0","0","1","0","0","0","1","1"
"MIRT046132","hsa","hsa","hsa-miR-30b-5p","RPS4X","0","0","0","0","1","0","0","0","1","1"
"MIRT046133","hsa","hsa","hsa-miR-30b-5p","EYA3","0","0","0","0","1","0","0","0","1","1"
"MIRT046134","hsa","hsa","hsa-miR-30b-5p","APLN","0","0","0","0","1","0","0","0","1","1"
"MIRT046135","hsa","hsa","hsa-miR-30b-5p","G3BP1","0","0","0","0","1","0","0","0","1","1"
"MIRT046136","hsa","hsa","hsa-miR-30b-5p","RAB22A","0","0","0","0","1","0","0","0","1","1"
"MIRT046137","hsa","hsa","hsa-miR-30b-5p","PARP1","0","0","0","0","1","0","0","0","1","1"
"MIRT046138","hsa","hsa","hsa-miR-30b-5p","TMED5","0","0","0","0","1","0","0","0","1","1"
"MIRT046139","hsa","hsa","hsa-miR-30b-5p","EIF2B1","0","0","0","0","1","0","0","0","1","1"
"MIRT046140","hsa","hsa","hsa-miR-30b-5p","ACER3","0","0","0","0","1","0","0","0","1","1"
"MIRT046141","hsa","hsa","hsa-miR-30b-5p","WDR37","0","0","0","0","1","0","0","0","1","1"
"MIRT046142","hsa","hsa","hsa-miR-30b-5p","CYB5B","0","0","0","0","1","0","0","0","1","1"
"MIRT046143","hsa","hsa","hsa-miR-30b-5p","HMGN2","0","0","0","0","1","0","0","0","1","1"
"MIRT046144","hsa","hsa","hsa-miR-30b-5p","ACTR10","0","0","0","0","1","0","0","0","1","1"
"MIRT046145","hsa","hsa","hsa-miR-30b-5p","KLHL15","0","0","0","0","1","0","0","0","1","1"
"MIRT046146","hsa","hsa","hsa-miR-30b-5p","C1QBP","0","0","0","0","1","0","0","0","1","1"
"MIRT046147","hsa","hsa","hsa-miR-30b-5p","PPP1R12B","0","0","0","0","1","0","0","0","1","1"
"MIRT046148","hsa","hsa","hsa-miR-30b-5p","FAM134C","0","0","0","0","1","0","0","0","1","1"
"MIRT046149","hsa","hsa","hsa-miR-30b-5p","RNF34","0","0","0","0","1","0","0","0","1","1"
"MIRT046150","hsa","hsa","hsa-miR-30b-5p","TRIM59","0","0","0","0","1","0","0","0","1","1"
"MIRT046151","hsa","hsa","hsa-miR-30b-5p","TMEM106B","0","0","0","0","1","0","0","0","1","1"
"MIRT046152","hsa","hsa","hsa-miR-30b-5p","MCFD2","0","0","0","0","1","0","0","0","1","1"
"MIRT046153","hsa","hsa","hsa-miR-30b-5p","RPS27A","0","0","0","0","1","0","0","0","1","1"
"MIRT046154","hsa","hsa","hsa-miR-30b-5p","SNRNP200","0","0","0","0","1","0","0","0","1","1"
"MIRT046155","hsa","hsa","hsa-miR-30b-5p","ZNF589","0","0","0","0","1","0","0","0","1","1"
"MIRT046156","hsa","hsa","hsa-miR-30b-5p","SHC1","0","0","0","0","1","0","0","0","1","1"
"MIRT046157","hsa","hsa","hsa-miR-30b-5p","TTLL12","0","0","0","0","1","0","0","0","1","1"
"MIRT046158","hsa","hsa","hsa-miR-30b-5p","ZNF646","0","0","0","0","1","0","0","0","1","1"
"MIRT046159","hsa","hsa","hsa-miR-30b-5p","GNAZ","0","0","0","0","1","0","0","0","1","1"
"MIRT046160","hsa","hsa","hsa-miR-30b-5p","ARF1","0","0","0","0","1","0","0","0","1","1"
"MIRT046161","hsa","hsa","hsa-miR-30b-5p","RBM14","0","0","0","0","1","0","0","0","1","1"
"MIRT046162","hsa","hsa","hsa-miR-30b-5p","SKIL","0","0","0","0","1","0","0","0","1","1"
"MIRT046163","hsa","hsa","hsa-miR-30b-5p","DNMT1","0","1","1","0","1","0","0","0","3","2"
"MIRT046164","hsa","hsa","hsa-miR-30b-5p","PRMT7","0","0","0","0","1","0","0","0","1","1"
"MIRT046165","hsa","hsa","hsa-miR-30b-5p","POU4F1","0","0","0","0","1","0","0","0","1","1"
"MIRT046166","hsa","hsa","hsa-miR-30b-5p","PCNT","0","0","0","0","1","0","0","0","1","1"
"MIRT046167","hsa","hsa","hsa-miR-30b-5p","ELOVL4","0","0","0","0","1","0","0","0","1","1"
"MIRT053341","hsa","hsa","hsa-miR-30b-5p","ERG","1","1","1","1","0","0","0","0","4","1"
"MIRT054119","hsa","hsa","hsa-miR-30b-5p","BECN1","1","1","1","0","1","0","0","0","4","2"
