"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT006274","hsa","hsa","hsa-miR-30c-1-3p","HMBOX1","1","1","0","0","0","0","0","0","2","1"
"MIRT038537","hsa","hsa","hsa-miR-30c-1-3p","DYRK1B","0","0","0","0","1","0","0","0","1","1"
"MIRT038538","hsa","hsa","hsa-miR-30c-1-3p","SLC39A8","0","0","0","0","1","0","0","0","1","1"
"MIRT038539","hsa","hsa","hsa-miR-30c-1-3p","FTSJ1","0","0","0","0","1","0","0","0","1","1"
"MIRT038540","hsa","hsa","hsa-miR-30c-1-3p","PPIA","0","0","0","0","1","0","0","0","1","1"
"MIRT038541","hsa","hsa","hsa-miR-30c-1-3p","SRPR","0","0","0","0","1","0","0","0","1","1"
"MIRT038542","hsa","hsa","hsa-miR-30c-1-3p","UBE2O","0","0","0","0","1","0","0","0","1","1"
"MIRT038543","hsa","hsa","hsa-miR-30c-1-3p","SRRT","0","0","0","0","1","0","0","0","1","1"
"MIRT057228","hsa","hsa","hsa-miR-30c-1-3p","GHITM","0","0","0","0","1","0","0","0","1","1"
"MIRT059812","hsa","hsa","hsa-miR-30c-1-3p","EFNA1","0","0","0","0","1","0","0","0","1","1"
"MIRT074338","hsa","hsa","hsa-miR-30c-1-3p","TNRC6A","0","0","0","0","1","0","0","0","1","1"
"MIRT090875","hsa","hsa","hsa-miR-30c-1-3p","CAPN7","0","0","0","0","1","0","0","0","1","1"
"MIRT100695","hsa","hsa","hsa-miR-30c-1-3p","TJAP1","0","0","0","0","1","0","0","0","1","1"
"MIRT103803","hsa","hsa","hsa-miR-30c-1-3p","PURB","0","0","0","0","1","0","0","0","1","1"
"MIRT124965","hsa","hsa","hsa-miR-30c-1-3p","XIAP","0","0","0","0","1","0","0","0","1","2"
"MIRT143717","hsa","hsa","hsa-miR-30c-1-3p","CCL22","0","0","0","0","1","0","0","0","1","1"
"MIRT176300","hsa","hsa","hsa-miR-30c-1-3p","DDX3Y","0","0","0","0","1","0","0","0","1","1"
"MIRT176695","hsa","hsa","hsa-miR-30c-1-3p","NHLRC2","0","0","0","0","1","0","0","0","1","1"
"MIRT192241","hsa","hsa","hsa-miR-30c-1-3p","BTF3L4","0","0","0","0","1","0","0","0","1","2"
"MIRT241916","hsa","hsa","hsa-miR-30c-1-3p","DYRK2","0","0","0","0","1","0","0","0","1","1"
"MIRT303378","hsa","hsa","hsa-miR-30c-1-3p","PCBP1","0","0","0","0","1","0","0","0","1","1"
"MIRT335437","hsa","hsa","hsa-miR-30c-1-3p","COX6A1","0","0","0","0","1","0","0","0","1","1"
"MIRT351024","hsa","hsa","hsa-miR-30c-1-3p","PLEKHB2","0","0","0","0","1","0","0","0","1","1"
"MIRT353100","hsa","hsa","hsa-miR-30c-1-3p","PIM3","0","0","0","0","1","0","0","0","1","1"
"MIRT379934","hsa","hsa","hsa-miR-30c-1-3p","PRRG4","0","0","0","0","1","0","0","0","1","1"
"MIRT442812","hsa","hsa","hsa-miR-30c-1-3p","CDH6","0","0","0","0","1","0","0","1","2","1"
"MIRT450166","hsa","hsa","hsa-miR-30c-1-3p","KLF7","0","0","0","0","1","0","0","0","1","1"
"MIRT450626","hsa","hsa","hsa-miR-30c-1-3p","AQR","0","0","0","0","1","0","0","0","1","1"
"MIRT450992","hsa","hsa","hsa-miR-30c-1-3p","EPS15L1","0","0","0","0","1","0","0","0","1","1"
"MIRT451093","hsa","hsa","hsa-miR-30c-1-3p","ZNF584","0","0","0","0","1","0","0","0","1","1"
"MIRT451174","hsa","hsa","hsa-miR-30c-1-3p","PIN1","0","0","0","0","1","0","0","0","1","1"
"MIRT452854","hsa","hsa","hsa-miR-30c-1-3p","LAX1","0","0","0","0","1","0","0","0","1","1"
"MIRT453046","hsa","hsa","hsa-miR-30c-1-3p","TANGO2","0","0","0","0","1","0","0","0","1","2"
"MIRT453069","hsa","hsa","hsa-miR-30c-1-3p","SUMF2","0","0","0","0","1","0","0","0","1","4"
"MIRT453596","hsa","hsa","hsa-miR-30c-1-3p","ZNF557","0","0","0","0","1","0","0","0","1","1"
"MIRT453989","hsa","hsa","hsa-miR-30c-1-3p","CECR1","0","0","0","0","1","0","0","0","1","1"
"MIRT454323","hsa","hsa","hsa-miR-30c-1-3p","PPARA","0","0","0","0","1","0","0","0","1","1"
