"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT006321","hsa","hsa","hsa-miR-30c-5p","SMAD1","1","1","0","0","0","0","0","0","2","1"
"MIRT004714","hsa","hsa","hsa-miR-30c-5p","MUC17","0","0","1","1","0","0","1","0","3","1"
"MIRT005090","hsa","hsa","hsa-miR-30c-5p","UBE2I","1","1","1","0","0","0","1","0","4","1"
"MIRT005971","hsa","hsa","hsa-miR-30c-5p","SERPINE1","1","1","1","0","1","0","0","0","4","3"
"MIRT006607","mmu","mmu","hsa-miR-30c-5p","Snai1","1","0","0","0","0","0","0","0","1","1"
"MIRT006762","hsa","hsa","hsa-miR-30c-5p","SNAI1","1","1","1","0","0","0","0","0","3","2"
"MIRT007050","hsa","hsa","hsa-miR-30c-5p","HSPA4","1","0","1","0","0","0","0","0","2","1"
"MIRT007108","hsa","hsa","hsa-miR-30c-5p","TGIF2","0","1","1","0","0","0","0","0","2","1"
"MIRT007109","hsa","hsa","hsa-miR-30c-5p","HDAC4","0","1","1","0","0","0","0","0","2","1"
"MIRT007129","hsa","hsa","hsa-miR-30c-5p","SOCS3","0","0","1","0","1","0","0","0","2","2"
"MIRT007130","hsa","hsa","hsa-miR-30c-5p","CUL2","0","0","1","0","0","0","0","0","1","1"
"MIRT007131","hsa","hsa","hsa-miR-30c-5p","NEDD4","0","0","1","0","0","0","0","0","1","1"
"MIRT007132","hsa","hsa","hsa-miR-30c-5p","SOCS1","0","0","1","0","1","0","0","0","2","4"
"MIRT007133","hsa","hsa","hsa-miR-30c-5p","ITGB3","0","0","1","0","0","0","0","0","1","1"
"MIRT007134","hsa","hsa","hsa-miR-30c-5p","ARHGEF6","0","0","1","0","0","0","0","0","1","1"
"MIRT007135","hsa","hsa","hsa-miR-30c-5p","ITGA4","0","0","1","0","0","0","0","0","1","1"
"MIRT007136","hsa","hsa","hsa-miR-30c-5p","PIK3R2","0","0","1","0","0","0","0","0","1","1"
"MIRT007202","hsa","hsa","hsa-miR-30c-5p","VIM","1","0","0","0","0","0","0","0","1","1"
"MIRT007203","hsa","hsa","hsa-miR-30c-5p","TWF1","1","0","0","0","1","0","0","0","2","2"
"MIRT047829","hsa","hsa","hsa-miR-30c-5p","HMG20A","0","0","0","0","1","0","0","0","1","1"
"MIRT047830","hsa","hsa","hsa-miR-30c-5p","ECT2","0","0","0","0","1","0","0","0","1","1"
"MIRT047831","hsa","hsa","hsa-miR-30c-5p","KCTD3","0","0","0","0","1","0","0","0","1","1"
"MIRT047832","hsa","hsa","hsa-miR-30c-5p","HNRNPK","0","0","0","0","1","0","0","0","1","1"
"MIRT047833","hsa","hsa","hsa-miR-30c-5p","TRA2A","0","0","0","0","1","0","0","0","1","1"
"MIRT047834","hsa","hsa","hsa-miR-30c-5p","CAMKV","0","0","0","0","1","0","0","0","1","1"
"MIRT047835","hsa","hsa","hsa-miR-30c-5p","NDNL2","0","0","0","0","1","0","0","0","1","1"
"MIRT047836","hsa","hsa","hsa-miR-30c-5p","SEMA6A","0","0","0","0","1","0","0","0","1","2"
