"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT066774","hsa","hsa","hsa-miR-891a-3p","ARID1A","0","0","0","0","1","0","0","0","1","1"
"MIRT077644","hsa","hsa","hsa-miR-891a-3p","IGF2BP1","0","0","0","0","1","0","0","0","1","1"
"MIRT119354","hsa","hsa","hsa-miR-891a-3p","WDR12","0","0","0","0","1","0","0","0","1","1"
"MIRT194600","hsa","hsa","hsa-miR-891a-3p","SMG1","0","0","0","0","1","0","0","0","1","1"
"MIRT457805","hsa","hsa","hsa-miR-891a-3p","KLHL25","0","0","0","0","1","0","0","1","2","1"
"MIRT459806","hsa","hsa","hsa-miR-891a-3p","POTED","0","0","0","0","1","0","0","0","1","4"
"MIRT461310","hsa","hsa","hsa-miR-891a-3p","MRPS27","0","0","0","0","1","0","0","0","1","1"
"MIRT463937","hsa","hsa","hsa-miR-891a-3p","WIZ","0","0","0","0","1","0","0","0","1","1"
"MIRT466667","hsa","hsa","hsa-miR-891a-3p","TAF1D","0","0","0","0","1","0","0","0","1","2"
"MIRT477754","hsa","hsa","hsa-miR-891a-3p","EDEM3","0","0","0","0","1","0","0","0","1","1"
"MIRT479463","hsa","hsa","hsa-miR-891a-3p","CDK6","0","0","0","0","1","0","0","0","1","1"
"MIRT481986","hsa","hsa","hsa-miR-891a-3p","AMOTL2","0","0","0","0","1","0","0","0","1","1"
"MIRT488221","hsa","hsa","hsa-miR-891a-3p","DNLZ","0","0","0","0","1","0","0","0","1","1"
"MIRT488776","hsa","hsa","hsa-miR-891a-3p","CYTH3","0","0","0","0","1","0","0","0","1","1"
"MIRT489313","hsa","hsa","hsa-miR-891a-3p","PEX26","0","0","0","0","1","0","0","0","1","1"
"MIRT490517","hsa","hsa","hsa-miR-891a-3p","KIAA1715","0","0","0","0","1","0","0","0","1","1"
"MIRT493203","hsa","hsa","hsa-miR-891a-3p","MID1IP1","0","0","0","0","1","0","0","0","1","1"
"MIRT497657","hsa","hsa","hsa-miR-891a-3p","PRMT3","0","0","0","0","1","0","0","0","1","1"
"MIRT501774","hsa","hsa","hsa-miR-891a-3p","NRBF2","0","0","0","0","1","0","0","0","1","3"
"MIRT505707","hsa","hsa","hsa-miR-891a-3p","SESN2","0","0","0","0","1","0","0","0","1","1"
"MIRT508168","hsa","hsa","hsa-miR-891a-3p","FRK","0","0","0","0","1","0","0","0","1","2"
"MIRT508266","hsa","hsa","hsa-miR-891a-3p","DYNLL2","0","0","0","0","1","0","0","0","1","2"
"MIRT515758","hsa","hsa","hsa-miR-891a-3p","KRTAP5-6","0","0","0","0","1","0","0","0","1","1"
"MIRT521146","hsa","hsa","hsa-miR-891a-3p","SFT2D2","0","0","0","0","1","0","0","0","1","1"
"MIRT530529","hsa","hsa","hsa-miR-891a-3p","ALG10B","0","0","0","0","1","0","0","0","1","1"
"MIRT535167","hsa","hsa","hsa-miR-891a-3p","PLEKHB2","0","0","0","0","1","0","0","0","1","1"
"MIRT535766","hsa","hsa","hsa-miR-891a-3p","MYCN","0","0","0","0","1","0","0","0","1","1"
"MIRT536067","hsa","hsa","hsa-miR-891a-3p","MCAM","0","0","0","0","1","0","0","0","1","1"
"MIRT538149","hsa","hsa","hsa-miR-891a-3p","DDAH1","0","0","0","0","1","0","0","0","1","2"
