"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000012","hsa","hsa","hsa-miR-122-5p","CYP7A1","1","0","1","0","0","0","1","0","3","1"
"MIRT006421","hsa","hsa","hsa-miR-122-5p","WNT1","1","1","1","0","0","0","0","0","3","1"
"MIRT000364","hsa","hsa","hsa-miR-122-5p","IGF1R","1","1","1","0","0","0","1","0","4","3"
"MIRT000365","hsa","hsa","hsa-miR-122-5p","SRF","1","1","1","0","0","0","1","0","4","1"
"MIRT000663","hsa","hsa","hsa-miR-122-5p","RAC1","1","1","1","1","0","0","1","0","5","2"
"MIRT000717","hsa","hsa","hsa-miR-122-5p","RHOA","1","0","0","0","0","0","1","0","2","2"
"MIRT006123","hsa","hsa","hsa-miR-122-5p","PRKRA","1","1","1","1","0","0","0","0","4","1"
"MIRT003006","hsa","hsa","hsa-miR-122-5p","CCNG1","1","1","1","0","0","0","1","0","4","4"
"MIRT003079","hsa","hsa","hsa-miR-122-5p","GTF2B","0","0","1","0","0","0","1","0","2","1"
"MIRT003080","hsa","hsa","hsa-miR-122-5p","GYS1","0","1","1","1","0","0","1","0","4","2"
"MIRT003081","hsa","hsa","hsa-miR-122-5p","ANK2","1","0","1","0","0","0","1","0","3","1"
"MIRT003082","hsa","hsa","hsa-miR-122-5p","NFATC2IP","1","0","1","0","0","0","1","0","3","1"
"MIRT003083","hsa","hsa","hsa-miR-122-5p","ENTPD4","1","0","1","0","0","0","1","0","3","1"
"MIRT003084","hsa","hsa","hsa-miR-122-5p","ANXA11","1","0","1","1","0","0","1","0","4","2"
"MIRT003085","hsa","hsa","hsa-miR-122-5p","ALDOA","1","0","1","0","0","0","1","0","3","2"
"MIRT003086","hsa","hsa","hsa-miR-122-5p","RAB6B","1","0","1","0","0","0","1","0","3","1"
"MIRT003087","hsa","hsa","hsa-miR-122-5p","RAB11FIP1","1","0","1","0","1","0","1","0","4","2"
"MIRT003088","hsa","hsa","hsa-miR-122-5p","FOXP1","1","0","1","0","0","0","1","0","3","1"
"MIRT003089","hsa","hsa","hsa-miR-122-5p","MECP2","1","0","1","0","0","0","1","0","3","2"
"MIRT003090","hsa","hsa","hsa-miR-122-5p","NCAM1","1","0","1","1","0","0","1","0","4","3"
"MIRT003091","hsa","hsa","hsa-miR-122-5p","UBAP2","1","0","1","0","0","0","1","0","3","1"
"MIRT003092","hsa","hsa","hsa-miR-122-5p","TBX19","1","0","1","0","0","0","1","0","3","1"
"MIRT003093","hsa","hsa","hsa-miR-122-5p","AACS","1","0","1","0","0","0","1","0","3","1"
"MIRT003094","hsa","hsa","hsa-miR-122-5p","DUSP2","1","0","1","0","0","0","1","0","3","1"
"MIRT003095","hsa","hsa","hsa-miR-122-5p","ATP1A2","1","0","1","0","0","0","1","0","3","1"
"MIRT003097","hsa","hsa","hsa-miR-122-5p","MAPK11","1","0","1","0","0","0","1","0","3","1"
"MIRT003098","hsa","hsa","hsa-miR-122-5p","FUNDC2","1","0","1","0","0","0","1","0","3","1"
"MIRT003099","hsa","hsa","hsa-miR-122-5p","AKT3","1","0","1","0","0","0","1","0","3","3"
