miR;path
miR-25-3p;R-HSA-194441
miR-25-3p;R-HSA-191859
miR-25-3p;R-HSA-2122947
miR-25-3p;R-HSA-4641265
miR-25-3p;R-HSA-4411364
miR-25-3p;R-HSA-8951430
miR-25-3p;R-HSA-201722
miR-25-3p;R-HSA-9616222
miR-25-3p;R-HSA-1980143
miR-25-3p;R-HSA-8939243
miR-25-3p;R-HSA-2173796
miR-25-3p;R-HSA-8878159
miR-25-3p;R-HSA-201556
miR-25-3p;R-HSA-6785807
miR-25-3p;R-HSA-72165
miR-25-3p;R-HSA-72203
miR-25-3p;R-HSA-3371568
miR-25-3p;R-HSA-3371571
miR-25-3p;R-HSA-3371556
miR-25-3p;R-HSA-9018519
miR-25-3p;R-HSA-8953854
miR-25-3p;R-HSA-8864260
miR-25-3p;R-HSA-2173793
miR-223-3p;R-HSA-6804116
miR-223-3p;R-HSA-1538133
miR-223-3p;R-HSA-68911
miR-223-3p;R-HSA-6791312
miR-223-3p;R-HSA-3700989
miR-223-3p;R-HSA-1362300
miR-223-3p;R-HSA-6796648
miR-223-3p;R-HSA-1362277
miR-223-3p;R-HSA-6804757
miR-223-3p;R-HSA-8953750
miR-223-3p;R-HSA-6806003
miR-223-3p;R-HSA-453279
miR-223-3p;R-HSA-69236
miR-223-3p;R-HSA-69231
miR-223-3p;R-HSA-912446
miR-223-3p;R-HSA-2559586
miR-223-3p;R-HSA-69563
miR-223-3p;R-HSA-69580
miR-223-3p;R-HSA-69615
miR-223-3p;R-HSA-2559583
miR-223-3p;R-HSA-9616222
miR-223-3p;R-HSA-5693607
miR-223-3p;R-HSA-69656
miR-223-3p;R-HSA-69202
miR-223-3p;R-HSA-1500620
miR-223-3p;R-HSA-6804756
miR-223-3p;R-HSA-69206
miR-223-3p;R-HSA-5693567
miR-223-3p;R-HSA-5693538
miR-223-3p;R-HSA-1474165
miR-223-3p;R-HSA-5693532
miR-223-3p;R-HSA-69242
miR-223-3p;R-HSA-69481
miR-223-3p;R-HSA-1640170
