miR;path
miR-133b;R-HSA-5625970
miR-133b;R-HSA-3928662
miR-133b;R-HSA-2682334
miR-133b;R-HSA-397795
miR-133b;R-HSA-5663220
miR-133b;R-HSA-141424
miR-133b;R-HSA-141444
miR-133b;R-HSA-389513
miR-133b;R-HSA-3928665
miR-133b;R-HSA-392451
miR-133b;R-HSA-195258
miR-133b;R-HSA-389356
miR-133b;R-HSA-388841
miR-133b;R-HSA-4420097
miR-133b;R-HSA-194138
miR-133b;R-HSA-4086400
miR-133b;R-HSA-195721
miR-133b;R-HSA-114604
miR-133b;R-HSA-6804757
miR-133b;R-HSA-6806003
miR-133b;R-HSA-8848021
miR-133b;R-HSA-9006927
miR-133b;R-HSA-187037
miR-133b;R-HSA-1227986
miR-133b;R-HSA-166520
miR-133b;R-HSA-8950505
miR-133b;R-HSA-9020591
miR-133b;R-HSA-447115
miR-133a-3p;R-HSA-194138
miR-133a-3p;R-HSA-1234158
miR-133a-3p;R-HSA-8866910
miR-133a-3p;R-HSA-8864260
miR-133a-3p;R-HSA-1234174
miR-133a-3p;R-HSA-4420097
miR-133a-3p;R-HSA-9006934
miR-133a-3p;R-HSA-6785807
miR-133a-3p;R-HSA-76002
miR-30a-5p;R-HSA-202670
miR-30a-5p;R-HSA-3769402
miR-30a-5p;R-HSA-113501
miR-30a-5p;R-HSA-450341
miR-30a-5p;R-HSA-1912422
miR-30a-5p;R-HSA-450282
miR-30a-5p;R-HSA-1912408
miR-30a-5p;R-HSA-114452
miR-30a-5p;R-HSA-157118
miR-30a-5p;R-HSA-2173796
miR-30a-5p;R-HSA-9022699
miR-30a-5p;R-HSA-6796648
miR-30a-5p;R-HSA-109606
miR-30a-5p;R-HSA-196299
miR-30a-5p;R-HSA-170834
miR-30a-5p;R-HSA-1362300
miR-30a-5p;R-HSA-2173793
miR-30a-5p;R-HSA-1912420
miR-30a-5p;R-HSA-1362277
miR-30a-5p;R-HSA-6782210
miR-30a-5p;R-HSA-6782135
miR-30a-5p;R-HSA-198753
miR-30a-5p;R-HSA-113510
miR-30a-5p;R-HSA-450294
miR-30a-5p;R-HSA-350054
miR-30a-5p;R-HSA-3700989
miR-30a-5p;R-HSA-109581
miR-30a-5p;R-HSA-9006936
miR-30a-5p;R-HSA-4641262
miR-30a-5p;R-HSA-448424
miR-30a-5p;R-HSA-69473
miR-30a-5p;R-HSA-6781827
miR-30a-5p;R-HSA-1538133
miR-30a-5p;R-HSA-5685938
miR-30a-5p;R-HSA-195253
miR-30a-5p;R-HSA-69206
miR-30a-5p;R-HSA-5693616
miR-30a-5p;R-HSA-5673000
miR-30a-5p;R-HSA-975871
miR-30a-5p;R-HSA-168176
miR-30a-5p;R-HSA-168142
miR-30c-5p;R-HSA-2122947
miR-30c-5p;R-HSA-2173796
miR-30c-5p;R-HSA-1980143
miR-30c-5p;R-HSA-157118
miR-30c-5p;R-HSA-1912408
miR-30c-5p;R-HSA-6804760
miR-30c-5p;R-HSA-2173793
miR-30c-5p;R-HSA-1912422
miR-30c-5p;R-HSA-5693565
miR-30c-5p;R-HSA-8878159
miR-30c-5p;R-HSA-9616222
miR-30c-5p;R-HSA-5693606
miR-30c-5p;R-HSA-4411364
miR-30c-5p;R-HSA-8951430
miR-30c-5p;R-HSA-9664873
miR-30c-5p;R-HSA-8941856
miR-30c-5p;R-HSA-4641265
miR-30c-5p;R-HSA-205043
miR-30c-5p;R-HSA-376172
miR-30c-5p;R-HSA-5684264
miR-30c-5p;R-HSA-170834
miR-30c-5p;R-HSA-5687128
miR-30c-5p;R-HSA-8864260
miR-30c-5p;R-HSA-210744
miR-30c-5p;R-HSA-9012852
miR-30c-5p;R-HSA-6804114
miR-30c-5p;R-HSA-201722
miR-30c-5p;R-HSA-450294
miR-30c-5p;R-HSA-9006936
miR-30c-5p;R-HSA-1362277
miR-30c-5p;R-HSA-450321
miR-30c-5p;R-HSA-445144
miR-30c-5p;R-HSA-448424
miR-30c-5p;R-HSA-9013695
miR-30c-5p;R-HSA-204998
miR-30c-5p;R-HSA-195721
miR-30c-5p;R-HSA-2122948
miR-30c-5p;R-HSA-5693607
miR-30c-5p;R-HSA-5689901
miR-30c-5p;R-HSA-69202
