"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT006544","hsa","hsa","hsa-miR-126-3p","PITPNC1","1","1","1","1","0","0","0","0","4","1"
"MIRT006543","hsa","hsa","hsa-miR-126-3p","IGFBP2","1","1","1","1","0","0","0","0","4","1"
"MIRT006450","hsa","hsa","hsa-miR-126-3p","KRAS","1","1","1","1","0","0","0","0","4","1"
"MIRT000343","hsa","hsa","hsa-miR-126-3p","SPRED1","1","1","1","0","0","0","1","0","4","7"
"MIRT000344","hsa","hsa","hsa-miR-126-3p","PLK2","1","1","1","0","0","0","1","0","4","3"
"MIRT006558","hsa","hsa","hsa-miR-126-3p","EGFL7","1","1","1","0","0","0","1","0","4","2"
"MIRT000798","hsa","hsa","hsa-miR-126-3p","SLC45A3","1","1","0","0","0","0","1","0","3","1"
"MIRT000965","hsa","hsa","hsa-miR-126-3p","CCNE2","1","0","0","0","0","0","1","0","2","1"
"MIRT000966","hsa","hsa","hsa-miR-126-3p","RGS3","1","0","0","0","0","0","1","0","2","2"
"MIRT000967","hsa","hsa","hsa-miR-126-3p","TOM1","1","1","1","1","0","0","1","0","5","3"
"MIRT001918","hsa","hsa","hsa-miR-126-3p","HOXA9","1","1","1","0","0","0","1","0","4","1"
"MIRT006545","hsa","hsa","hsa-miR-126-3p","MERTK","1","1","1","1","0","0","0","0","4","1"
"MIRT002993","hsa","hsa","hsa-miR-126-3p","CRK","1","1","1","0","1","0","1","0","5","8"
"MIRT003428","hsa","hsa","hsa-miR-126-3p","VEGFA","1","1","1","0","1","0","1","0","5","8"
"MIRT003894","hsa","hsa","hsa-miR-126-3p","PIK3R2","1","1","1","0","0","0","1","0","4","7"
"MIRT004081","hsa","hsa","hsa-miR-126-3p","VCAM1","1","1","0","0","0","0","1","0","3","1"
"MIRT004355","hsa","hsa","hsa-miR-126-3p","IRS1","1","1","1","0","0","0","1","0","4","7"
"MIRT005020","hsa","hsa","hsa-miR-126-3p","E2F1","0","0","1","0","0","0","1","0","2","1"
"MIRT005370","hsa","hsa","hsa-miR-126-3p","SOX2","1","1","1","1","0","0","1","0","5","2"
"MIRT005538","hsa","hsa","hsa-miR-126-3p","TWF1","1","1","1","1","0","0","1","0","5","1"
"MIRT005540","hsa","hsa","hsa-miR-126-3p","TWF2","1","1","1","1","0","0","0","0","4","1"
"MIRT005727","hsa","hsa","hsa-miR-126-3p","PTPN7","1","1","1","0","0","0","0","0","3","1"
"MIRT005729","hsa","hsa","hsa-miR-126-3p","DNMT1","1","1","1","1","0","0","0","0","4","1"
"MIRT006679","hsa","hsa","hsa-miR-126-3p","SLC7A5","1","1","1","0","1","0","0","0","4","3"
"MIRT006831","hsa","hsa","hsa-miR-126-3p","PIK3CG","1","1","1","1","0","0","0","0","4","2"
"MIRT006883","hsa","hsa","hsa-miR-126-3p","TEK","1","1","1","0","0","0","0","0","3","1"
"MIRT007266","hsa","hsa","hsa-miR-126-3p","ADAM9","1","1","1","1","0","0","0","0","4","4"
"MIRT007269","hsa","hsa","hsa-miR-126-3p","MMP7","1","0","0","0","0","0","0","0","1","1"
"MIRT007381","hsa","hsa","hsa-miR-126-3p","CXCL12","1","0","0","0","0","0","0","0","1","1"
"MIRT021281","hsa","hsa","hsa-miR-126-3p","CRKL","1","1","1","0","0","0","1","0","4","2"
"MIRT021282","hsa","hsa","hsa-miR-126-3p","PGR","1","1","0","0","0","0","0","0","2","1"
"MIRT045695","hsa","hsa","hsa-miR-126-3p","RBMX","0","0","0","0","1","0","0","0","1","1"
"MIRT053249","hsa","hsa","hsa-miR-126-3p","FOXO3","1","1","1","0","0","0","0","0","3","1"
"MIRT053253","hsa","hsa","hsa-miR-126-3p","BCL2","1","1","1","1","0","0","0","0","4","1"
"MIRT054425","hsa","hsa","hsa-miR-126-3p","CXCR4","1","1","1","0","0","0","0","0","3","3"
"MIRT438139","hsa","mmu","hsa-miR-126-3p","Camsap1","1","0","0","0","0","0","0","0","1","1"
"MIRT438175","hsa","hsa","hsa-miR-126-3p","CD97","1","0","1","0","0","0","0","0","2","1"
"MIRT438192","hsa","hsa","hsa-miR-126-3p","TCF4","1","0","0","0","0","0","0","0","1","1"
"MIRT438412","hsa","hsa","hsa-miR-126-3p","Cdkn1b","0","0","1","0","0","0","0","0","1","1"
"MIRT438574","hsa","hsa","hsa-miR-126-3p","RHOU","1","1","1","0","0","0","0","0","3","1"
"MIRT438575","hsa","hsa","hsa-miR-126-3p","LRP6","1","1","1","0","0","0","0","0","3","1"
"MIRT438600","hsa","hsa","hsa-miR-126-3p","ADM","1","0","0","0","0","0","0","0","1","1"
"MIRT438651","hsa","hsa","hsa-miR-126-3p","SIRT1","1","1","1","0","0","0","0","0","3","1"
"MIRT438759","hsa","hsa","hsa-miR-126-3p","NFKBIA","1","1","1","0","0","0","0","0","3","1"
"MIRT527649","hsa","hsa","hsa-miR-126-3p","KCNJ1","0","0","0","0","1","0","0","1","2","1"
"MIRT545417","hsa","hsa","hsa-miR-126-3p","SLC39A6","0","0","0","0","1","0","0","0","1","1"
"MIRT568554","hsa","hsa","hsa-miR-126-3p","AKT2","0","0","0","0","1","0","0","0","1","1"
"MIRT613368","hsa","hsa","hsa-miR-126-3p","ACVR2B","0","0","0","0","1","0","0","0","1","1"
"MIRT614772","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","1","0","0","0","1","2"
"MIRT623746","hsa","hsa","hsa-miR-126-3p","GRIN2B","0","0","0","0","1","0","0","0","1","1"
"MIRT732065","hsa","hsa","hsa-miR-126-3p","CADM1","1","1","1","0","0","0","0","0","3","1"
"MIRT4889326","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT4962221","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT4962224","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT4966371","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT4970194","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT4974011","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT4974014","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT4979654","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT4979657","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT4987485","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT4987488","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT4992726","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT4998730","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT5008118","hsa","hsa","hsa-miR-126-3p","GRIN2B","0","0","0","0","0","0","0","1","1","0"
"MIRT5013426","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT5013429","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT5033892","hsa","hsa","hsa-miR-126-3p","GRIN2B","0","0","0","0","0","0","0","1","1","0"
"MIRT5041077","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT5041080","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT5062038","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT5065262","hsa","hsa","hsa-miR-126-3p","ACVR2B","0","0","0","0","0","0","0","1","1","0"
"MIRT5070310","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
"MIRT5085487","hsa","hsa","hsa-miR-126-3p","GRIN2B","0","0","0","0","0","0","0","1","1","0"
"MIRT5086923","hsa","hsa","hsa-miR-126-3p","SLC41A2","0","0","0","0","0","0","0","1","1","0"
