"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT006045","hsa","hsa","hsa-miR-30e-5p","MYBL2","1","1","1","0","1","0","0","0","4","2"
"MIRT003339","hsa","hsa","hsa-miR-30e-5p","UBE2I","1","1","1","0","0","0","1","0","4","2"
"MIRT004715","hsa","hsa","hsa-miR-30e-5p","MUC17","0","0","1","1","0","0","1","0","3","1"
"MIRT006609","mmu","mmu","hsa-miR-30e-5p","Snai1","1","0","0","0","0","0","0","0","1","1"
"MIRT006764","hsa","hsa","hsa-miR-30e-5p","SNAI1","1","1","1","0","0","0","0","0","3","1"
"MIRT044127","hsa","hsa","hsa-miR-30e-5p","ZNF207","0","0","0","0","1","0","0","0","1","1"
"MIRT044128","hsa","hsa","hsa-miR-30e-5p","MIER1","0","0","0","0","1","0","0","0","1","1"
"MIRT044129","hsa","hsa","hsa-miR-30e-5p","GPBP1L1","0","0","0","0","1","0","0","0","1","1"
"MIRT044130","hsa","hsa","hsa-miR-30e-5p","PSMA6","0","0","0","0","1","0","0","0","1","1"
"MIRT044131","hsa","hsa","hsa-miR-30e-5p","TRAPPC9","0","0","0","0","1","0","0","0","1","1"
"MIRT044132","hsa","hsa","hsa-miR-30e-5p","LYRM7","0","0","0","0","1","0","0","0","1","1"
"MIRT044133","hsa","hsa","hsa-miR-30e-5p","BTBD9","0","0","0","0","1","0","0","0","1","1"
"MIRT044134","hsa","hsa","hsa-miR-30e-5p","RPIA","0","0","0","0","1","0","0","0","1","1"
"MIRT044135","hsa","hsa","hsa-miR-30e-5p","PRKAA1","0","0","0","0","1","0","0","0","1","1"
"MIRT044136","hsa","hsa","hsa-miR-30e-5p","EHMT1","0","0","0","0","1","0","0","0","1","1"
"MIRT044137","hsa","hsa","hsa-miR-30e-5p","ZBTB21","0","0","0","0","1","0","0","0","1","1"
"MIRT044138","hsa","hsa","hsa-miR-30e-5p","MSANTD2","0","0","0","0","1","0","0","0","1","1"
"MIRT044139","hsa","hsa","hsa-miR-30e-5p","TNKS2","0","0","0","0","1","0","0","0","1","1"
"MIRT044140","hsa","hsa","hsa-miR-30e-5p","LIMCH1","0","0","0","0","1","0","0","0","1","1"
"MIRT044141","hsa","hsa","hsa-miR-30e-5p","RPS8","0","0","0","0","1","0","0","0","1","1"
"MIRT044142","hsa","hsa","hsa-miR-30e-5p","NOL12","0","0","0","0","1","0","0","0","1","1"
"MIRT044143","hsa","hsa","hsa-miR-30e-5p","CANX","0","0","0","0","1","0","0","0","1","1"
"MIRT044144","hsa","hsa","hsa-miR-30e-5p","GNAI2","0","0","0","0","1","0","0","0","1","2"
"MIRT044145","hsa","hsa","hsa-miR-30e-5p","WDR26","0","0","0","0","1","0","0","0","1","1"
"MIRT044146","hsa","hsa","hsa-miR-30e-5p","POLRMT","0","0","0","0","1","0","0","0","1","1"
"MIRT044147","hsa","hsa","hsa-miR-30e-5p","TBC1D8B","0","0","0","0","1","0","0","0","1","1"
"MIRT044148","hsa","hsa","hsa-miR-30e-5p","PCNT","0","0","0","0","1","0","0","0","1","1"
"MIRT044149","hsa","hsa","hsa-miR-30e-5p","PSMB5","0","0","0","0","1","0","0","0","1","1"
"MIRT044150","hsa","hsa","hsa-miR-30e-5p","POLDIP3","0","0","0","0","1","0","0","0","1","1"
"MIRT044151","hsa","hsa","hsa-miR-30e-5p","ATP5O","0","0","0","0","1","0","0","0","1","1"
"MIRT044152","hsa","hsa","hsa-miR-30e-5p","RPLP0","0","0","0","0","1","0","0","0","1","1"
"MIRT044153","hsa","hsa","hsa-miR-30e-5p","ZYG11A","0","0","0","0","1","0","0","0","1","1"
"MIRT044154","hsa","hsa","hsa-miR-30e-5p","RPS7","0","0","0","0","1","0","0","0","1","1"
"MIRT044155","hsa","hsa","hsa-miR-30e-5p","HSP90AA1","0","0","0","0","1","0","0","0","1","4"
"MIRT044156","hsa","hsa","hsa-miR-30e-5p","RELA","0","0","0","0","1","0","0","0","1","1"
"MIRT044157","hsa","hsa","hsa-miR-30e-5p","STAU1","0","0","0","0","1","0","0","0","1","2"
"MIRT044158","hsa","hsa","hsa-miR-30e-5p","CCT6A","0","0","0","0","1","0","0","0","1","1"
"MIRT044159","hsa","hsa","hsa-miR-30e-5p","EEF1A1","0","0","0","0","1","0","0","0","1","1"
"MIRT044160","hsa","hsa","hsa-miR-30e-5p","VPS13B","0","0","0","0","1","0","0","0","1","1"
"MIRT044161","hsa","hsa","hsa-miR-30e-5p","EXO1","0","0","0","0","1","0","0","0","1","1"
"MIRT044162","hsa","hsa","hsa-miR-30e-5p","MTHFD2","0","0","0","0","1","0","0","0","1","1"
"MIRT044163","hsa","hsa","hsa-miR-30e-5p","C1orf123","0","0","0","0","1","0","0","0","1","1"
"MIRT053588","hsa","hsa","hsa-miR-30e-5p","BMI1","1","1","1","1","0","0","0","0","4","1"
"MIRT054897","hsa","hsa","hsa-miR-30e-5p","MTTP","1","0","0","0","0","0","0","0","1","1"
"MIRT057361","hsa","hsa","hsa-miR-30e-5p","PCGF5","0","0","0","0","1","0","0","0","1","1"
"MIRT057486","hsa","hsa","hsa-miR-30e-5p","KIF11","0","0","0","0","1","0","0","0","1","2"
"MIRT057678","hsa","hsa","hsa-miR-30e-5p","LCOR","0","0","0","0","1","0","0","0","1","1"
"MIRT059178","hsa","hsa","hsa-miR-30e-5p","SLC35C1","0","0","0","0","1","0","0","0","1","1"
"MIRT067979","hsa","hsa","hsa-miR-30e-5p","TFDP1","0","0","0","0","1","0","0","0","1","3"
"MIRT068119","hsa","hsa","hsa-miR-30e-5p","KPNA6","0","0","0","0","1","0","0","0","1","1"
"MIRT068389","hsa","hsa","hsa-miR-30e-5p","S100PBP","0","0","0","0","1","0","0","0","1","1"
"MIRT069738","hsa","hsa","hsa-miR-30e-5p","FOXG1","0","0","0","0","1","0","0","0","1","2"
"MIRT074378","hsa","hsa","hsa-miR-30e-5p","TNRC6A","0","0","0","0","1","0","0","0","1","1"
"MIRT075442","hsa","hsa","hsa-miR-30e-5p","PSMD7","0","0","0","0","1","0","0","0","1","3"
"MIRT079948","hsa","hsa","hsa-miR-30e-5p","RNF138","0","0","0","0","1","0","0","0","1","2"
"MIRT080961","hsa","hsa","hsa-miR-30e-5p","LRRC8B","0","0","0","0","1","0","0","0","1","1"
"MIRT081081","hsa","hsa","hsa-miR-30e-5p","LDLR","0","0","0","0","1","0","0","0","1","1"
"MIRT081716","hsa","hsa","hsa-miR-30e-5p","ZNF507","0","0","0","0","1","0","0","0","1","2"
"MIRT082856","hsa","hsa","hsa-miR-30e-5p","ZNF543","0","0","0","0","1","0","0","0","1","2"
"MIRT084236","hsa","hsa","hsa-miR-30e-5p","PCMTD2","0","0","0","0","1","0","0","0","1","1"
"MIRT087148","hsa","hsa","hsa-miR-30e-5p","HIC2","0","0","0","0","1","0","0","0","1","4"
"MIRT088449","hsa","hsa","hsa-miR-30e-5p","LCLAT1","0","0","0","0","1","0","0","0","1","1"
"MIRT088682","hsa","hsa","hsa-miR-30e-5p","EML4","0","0","0","0","1","0","0","0","1","2"
"MIRT088938","hsa","hsa","hsa-miR-30e-5p","ASB3","0","0","0","0","1","0","0","0","1","1"
"MIRT090506","hsa","hsa","hsa-miR-30e-5p","SLC35G2","0","0","0","0","1","0","0","0","1","1"
"MIRT090791","hsa","hsa","hsa-miR-30e-5p","MBNL1","1","0","0","0","0","0","0","0","1","1"
"MIRT091580","hsa","hsa","hsa-miR-30e-5p","FBXO45","0","0","0","0","1","0","0","0","1","1"
"MIRT095099","hsa","hsa","hsa-miR-30e-5p","SEC24A","0","0","0","0","1","0","0","0","1","1"
"MIRT096086","hsa","hsa","hsa-miR-30e-5p","SFXN1","0","0","0","0","1","0","0","0","1","1"
"MIRT098039","hsa","hsa","hsa-miR-30e-5p","SOBP","0","0","0","0","1","0","0","0","1","1"
"MIRT099798","hsa","hsa","hsa-miR-30e-5p","SOX4","0","0","0","0","1","0","0","0","1","2"
"MIRT100771","hsa","hsa","hsa-miR-30e-5p","ENPP4","0","0","0","0","1","0","0","0","1","2"
"MIRT100911","hsa","hsa","hsa-miR-30e-5p","CD2AP","0","0","0","0","1","0","0","0","1","1"
"MIRT103200","hsa","hsa","hsa-miR-30e-5p","SP4","0","0","0","0","1","0","0","0","1","4"
"MIRT104523","hsa","hsa","hsa-miR-30e-5p","PEG10","0","0","0","0","1","0","0","0","1","1"
"MIRT105036","hsa","hsa","hsa-miR-30e-5p","FAM91A1","0","0","0","0","1","0","0","0","1","1"
"MIRT106747","hsa","hsa","hsa-miR-30e-5p","RAD23B","0","0","0","0","1","0","0","0","1","1"
"MIRT110578","hsa","hsa","hsa-miR-30e-5p","KIF5B","0","0","0","0","1","0","0","0","1","3"
"MIRT115925","hsa","hsa","hsa-miR-30e-5p","NFAT5","0","0","0","0","1","0","0","0","1","1"
"MIRT118145","hsa","hsa","hsa-miR-30e-5p","ZNF264","0","0","0","0","1","0","0","0","1","1"
"MIRT128248","hsa","hsa","hsa-miR-30e-5p","STRIP1","0","0","0","0","1","0","0","0","1","1"
"MIRT131798","hsa","hsa","hsa-miR-30e-5p","CEP350","0","0","0","0","1","0","0","0","1","1"
"MIRT131874","hsa","hsa","hsa-miR-30e-5p","IER5","0","0","0","0","1","0","0","0","1","1"
"MIRT134335","hsa","hsa","hsa-miR-30e-5p","MTR","0","0","0","0","1","0","0","0","1","1"
"MIRT135679","hsa","hsa","hsa-miR-30e-5p","ZBTB39","0","0","0","0","1","0","0","0","1","1"
"MIRT136221","hsa","hsa","hsa-miR-30e-5p","STX12","0","0","0","0","1","0","0","0","1","1"
"MIRT137020","hsa","hsa","hsa-miR-30e-5p","WDFY2","0","0","0","0","1","0","0","0","1","1"
"MIRT137127","hsa","hsa","hsa-miR-30e-5p","TPRG1L","0","0","0","0","1","0","0","0","1","1"
"MIRT138286","hsa","hsa","hsa-miR-30e-5p","RNF220","0","0","0","0","1","0","0","0","1","1"
"MIRT139251","hsa","hsa","hsa-miR-30e-5p","JDP2","0","0","0","0","1","0","0","0","1","1"
"MIRT140644","hsa","hsa","hsa-miR-30e-5p","PLEKHO2","0","0","0","0","1","0","0","0","1","1"
"MIRT140883","hsa","hsa","hsa-miR-30e-5p","GLCE","0","0","0","0","1","0","0","0","1","1"
"MIRT142594","hsa","hsa","hsa-miR-30e-5p","IL21R","0","0","0","0","1","0","0","0","1","2"
"MIRT143353","hsa","hsa","hsa-miR-30e-5p","PAPD5","0","0","0","0","1","0","0","0","1","1"
"MIRT144541","hsa","hsa","hsa-miR-30e-5p","ZNRF1","0","0","0","0","1","0","0","0","1","1"
"MIRT145451","hsa","hsa","hsa-miR-30e-5p","RNF135","0","0","0","0","1","0","0","0","1","1"
"MIRT148355","hsa","hsa","hsa-miR-30e-5p","GALNT1","0","0","0","0","1","0","0","0","1","1"
"MIRT149122","hsa","hsa","hsa-miR-30e-5p","LRRC8D","0","0","0","0","1","0","0","0","1","1"
"MIRT150765","hsa","hsa","hsa-miR-30e-5p","MAST3","0","0","0","0","1","0","0","0","1","1"
"MIRT152419","hsa","hsa","hsa-miR-30e-5p","ARID3A","0","0","0","0","1","0","0","0","1","2"
"MIRT154956","hsa","hsa","hsa-miR-30e-5p","RRM2","0","0","0","0","1","0","0","0","1","2"
"MIRT155251","hsa","hsa","hsa-miR-30e-5p","IFNAR2","0","0","0","0","1","0","0","0","1","1"
"MIRT159122","hsa","hsa","hsa-miR-30e-5p","NRBP1","0","0","0","0","1","0","0","0","1","1"
"MIRT159250","hsa","hsa","hsa-miR-30e-5p","RASGRP3","0","0","0","0","1","0","0","0","1","1"
"MIRT160856","hsa","hsa","hsa-miR-30e-5p","PLXNA1","0","0","0","0","1","0","0","0","1","1"
"MIRT164237","hsa","hsa","hsa-miR-30e-5p","GAB1","0","0","0","0","1","0","0","0","1","1"
"MIRT165600","hsa","hsa","hsa-miR-30e-5p","PPARGC1B","0","0","0","0","1","0","0","0","1","1"
"MIRT167511","hsa","hsa","hsa-miR-30e-5p","PRDM1","0","0","0","0","1","0","0","0","1","1"
"MIRT170159","hsa","hsa","hsa-miR-30e-5p","KLHDC10","0","0","0","0","1","0","0","0","1","1"
"MIRT171358","hsa","hsa","hsa-miR-30e-5p","PHTF2","0","0","0","0","1","0","0","0","1","2"
"MIRT171556","hsa","hsa","hsa-miR-30e-5p","DBF4","0","0","0","0","1","0","0","0","1","1"
"MIRT173419","hsa","hsa","hsa-miR-30e-5p","MTDH","0","0","0","0","1","0","0","0","1","1"
"MIRT176038","hsa","hsa","hsa-miR-30e-5p","JADE3","0","0","0","0","1","0","0","0","1","1"
